161
171
['554', '943', '165']
['380', '586', '425']
['705', '138', '352']
['515', '162', '765']
['961', '193', '249']
['980', '834', '331']
['534', '289', '352']
['749', '77', '197']
['732', '965', '725']
['755', '963', '180']
['669', '689', '8']
['175', '436', '831']
['568', '870', '154']
['263', '249', '156']
['20', '694', '612']
['77', '360', '602']
['352', '515', '263']
['870', '765', '119']
['289', '197', '899']
['624', '890', '732']
['197', '162', '279']
['234', '321', '870']
['551', '612', '51']
['197', '985', '83']
['211', '983', '657']
['950', '32', '612']
['570', '543', '732']
['101', '420', '602']
['781', '380', '586']
['444', '812', '791']
['425', '635', '965']
['80', '543', '568']
['351', '985', '890']
['812', '691', '417']
['198', '831', '341']
['341', '360', '515']
['777', '649', '604']
['966', '689', '983']
['157', '308', '874']
['931', '257', '198']
['343', '230', '385']
['77', '548', '65']
['489', '601', '198']
['397', '157', '791']
['104', '604', '230']
['694', '331', '155']
['467', '380', '211']
['343', '321', '736']
['257', '11', '972']
['884', '172', '360']
['755', '341', '534']
['32', '154', '610']
['755', '812', '706']
['8', '966', '851']
['745', '465', '586']
['570', '810', '175']
['635', '229', '104']
['601', '689', '602']
['434', '851', '870']
['638', '548', '380']
['519', '781', '197']
['662', '588', '777']
['228', '669', '746']
['211', '972', '321']
['781', '257', '791']
['289', '883', '612']
['746', '279', '929']
['963', '279', '736']
['157', '950', '834']
['377', '716', '545']
['602', '360', '523']
['688', '454', '899']
['20', '385', '586']
['197', '568', '899']
['623', '153', '568']
['249', '417', '755']
['341', '929', '689']
['397', '635', '425']
['8', '207', '218']
['434', '985', '983']
['38', '635', '950']
['874', '691', '601']
['377', '590', '489']
['417', '980', '765']
['420', '189', '289']
['732', '205', '257']
['193', '831', '77']
['612', '454', '308']
['883', '624', '945']
['880', '397', '328']
['205', '97', '153']
['331', '590', '101']
['804', '765', '180']
['230', '8', '467']
['420', '154', '812']
['937', '88', '454']
['32', '218', '715']
['568', '548', '333']
['515', '83', '333']
['732', '570', '791']
['234', '534', '467']
['162', '417', '197']
['198', '197', '669']
['377', '257', '20']
['749', '697', '380']
['123', '846', '598']
['397', '172', '691']
['465', '515', '230']
['38', '590', '467']
['11', '588', '211']
['289', '745', '568']
['432', '20', '781']
['883', '602', '667']
['8', '153', '88']
['667', '20', '515']
['781', '119', '257']
['154', '172', '598']
['211', '523', '890']
['138', '694', '51']
['543', '548', '32']
['810', '874', '691']
['97', '598', '230']
['197', '638', '289']
['736', '175', '234']
['432', '804', '662']
['198', '341', '51']
['635', '257', '328']
['189', '467', '899']
['65', '705', '38']
['197', '88', '289']
['257', '436', '551']
['467', '360', '745']
['77', '378', '983']
['554', '570', '156']
['420', '732', '155']
['791', '804', '155']
['682', '985', '851']
['155', '154', '402']
['669', '755', '931']
['812', '755', '308']
['782', '515', '543']
['77', '333', '328']
['736', '846', '454']
['931', '804', '966']
['324', '519', '812']
['966', '570', '172']
['590', '950', '175']
['289', '695', '229']
['545', '123', '985']
['351', '97', '321']
['162', '333', '812']
['32', '937', '77']
['777', '810', '545']
['570', '65', '706']
['623', '454', '725']
['688', '157', '745']
['333', '691', '263']
['586', '963', '732']
['610', '101', '436']
['123', '351', '568']
['860', '321', '417']
['308', '97', '831']
['198', '308', '884']
['860', '777', '198']
['343', '899', '965']
['360', '745', '123']
['289', '83', '810']
['980', '931', '570']
['554', '624', '425']
['180', '249', '705']
['420', '207', '351']
['929', '80', '945']
['51', '604', '397']
['834', '568', '860']
['649', '351', '65']
['360', '874', '425']
['104', '32', '963']
['931', '32', '689']
['883', '610', '341']
['966', '101', '781']
['870', '378', '725']
['522', '154', '610']
['38', '331', '543']
['444', '157', '534']
['804', '11', '682']
['467', '697', '397']
['352', '156', '725']
['211', '662', '980']
['123', '834', '985']
['436', '883', '162']
['519', '950', '436']
['639', '378', '697']
['765', '420', '189']
['883', '732', '691']
['682', '730', '689']
['207', '249', '417']
['180', '823', '545']
['80', '157', '662']
['211', '985', '662']
['715', '162', '189']
['694', '162', '123']
['730', '197', '230']
['32', '80', '378']
['360', '983', '489']
['749', '255', '781']
['88', '249', '860']
['434', '749', '765']
['321', '791', '123']
['333', '8', '211']
['377', '890', '601']
['153', '623', '638']
['543', '138', '638']
['972', '568', '782']
['308', '234', '165']
['454', '870', '198']
['420', '545', '97']
['380', '77', '101']
['432', '695', '657']
['657', '380', '781']
['791', '263', '732']
['804', '11', '823']
['38', '523', '489']
['831', '931', '732']
['249', '20', '377']
['380', '228', '97']
['189', '32', '716']
['543', '154', '966']
['983', '397', '649']
['380', '725', '945']
['467', '993', '746']
['601', '730', '156']
['156', '279', '601']
['725', '610', '83']
['570', '80', '716']
['467', '588', '691']
['586', '804', '153']
['229', '736', '425']
['694', '165', '860']
['218', '123', '961']
['519', '846', '639']
['228', '155', '610']
['138', '155', '624']
['590', '931', '343']
['101', '846', '874']
['119', '522', '385']
['343', '586', '568']
['929', '257', '157']
['804', '985', '610']
['38', '20', '397']
['736', '88', '649']
['966', '434', '205']
['162', '823', '812']
['950', '823', '234']
['333', '32', '884']
['19', '682', '101']
['602', '229', '961']
['980', '983', '360']
['870', '279', '11']
['586', '38', '697']
['205', '972', '65']
['716', '662', '360']
['378', '97', '931']
['11', '522', '465']
['83', '218', '321']
['155', '568', '434']
['522', '590', '755']
['249', '324', '429']
['554', '80', '8']
['812', '189', '950']
['884', '101', '534']
['662', '694', '289']
['791', '436', '65']
['249', '157', '77']
['570', '380', '38']
['165', '980', '715']
['697', '97', '65']
['197', '397', '694']
['467', '402', '32']
['211', '257', '570']
['255', '465', '870']
['823', '716', '963']
['8', '255', '715']
['377', '175', '263']
['205', '545', '88']
['590', '534', '289']
['966', '725', '51']
['874', '193', '983']
['324', '189', '351']
['228', '823', '123']
['965', '343', '604']
['781', '730', '804']
['377', '610', '624']
['119', '657', '765']
['289', '598', '515']
['19', '730', '234']
['870', '175', '351']
['211', '205', '489']
['669', '851', '695']
['198', '436', '234']
['705', '972', '444']
['189', '610', '983']
['662', '180', '736']
['765', '610', '688']
['429', '950', '937']
['198', '289', '810']
['279', '175', '937']
['436', '385', '308']
['810', '465', '601']
['890', '193', '119']
['197', '851', '870']
['980', '598', '198']
['755', '65', '20']
['623', '65', '20']
['197', '612', '682']
['551', '207', '791']
['610', '691', '189']
['289', '612', '417']
['378', '328', '570']
['88', '965', '689']
['378', '777', '32']
['378', '705', '662']
['937', '402', '38']
['465', '255', '377']
['402', '551', '931']
['154', '80', '662']
['341', '522', '519']
['695', '523', '545']
['20', '706', '38']
['263', '97', '420']
['534', '420', '230']
['83', '972', '402']
['207', '32', '980']
['360', '436', '993']
['746', '937', '444']
['343', '425', '444']
['588', '402', '197']
['377', '228', '691']
['604', '417', '351']
['649', '324', '425']
['80', '157', '279']
['434', '444', '77']
['207', '20', '834']
['965', '638', '570']
['870', '846', '649']
['420', '207', '249']
['765', '706', '590']
['697', '804', '522']
['328', '228', '11']
['380', '635', '695']
['465', '937', '193']
['657', '610', '519']
['230', '570', '649']
['88', '966', '198']
['104', '377', '154']
['257', '519', '810']
['333', '230', '157']
['172', '604', '945']
['77', '88', '324']
['745', '746', '639']
['610', '706', '257']
['716', '80', '467']
['662', '950', '966']
['694', '831', '635']
['104', '38', '380']
['429', '234', '931']
['444', '402', '193']
['436', '706', '662']
['689', '706', '385']
['454', '755', '333']
['420', '432', '765']
['77', '19', '444']
['351', '489', '635']
['931', '519', '623']
['610', '883', '19']
['963', '8', '378']
['880', '83', '197']
['635', '180', '328']
['157', '810', '791']
['966', '321', '730']
['515', '230', '870']
['883', '543', '601']
['255', '38', '586']
['691', '649', '993']
['890', '77', '380']
['590', '950', '180']
['983', '963', '590']
['966', '899', '588']
['846', '123', '745']
['966', '218', '343']
['343', '32', '321']
['19', '985', '432']
['522', '638', '823']
['343', '193', '402']
['51', '522', '870']
['846', '523', '123']
['682', '229', '377']
['834', '279', '289']
['804', '548', '257']
['489', '937', '11']
['588', '602', '360']
['851', '880', '691']
['588', '360', '624']
['736', '782', '444']
['257', '831', '218']
['602', '755', '333']
['207', '162', '515']
['716', '515', '80']
['899', '961', '548']
['985', '598', '781']
['639', '104', '965']
['180', '328', '691']
['198', '377', '80']
['425', '19', '937']
['101', '983', '172']
['781', '229', '467']
['80', '823', '77']
['77', '189', '812']
['155', '601', '568']
['985', '899', '175']
['156', '155', '228']
['380', '966', '444']
['972', '175', '745']
