5
16
['29', '37', '3']
['37', '29', '34']
['3', '37', '36']
['34', '37', '3']
['29', '36', '3']
['34', '36', '3']
['3', '36', '37']
['34', '29', '36']
['36', '29', '3']
['3', '34', '29']
['29', '36', '37']
['34', '36', '37']
['29', '36', '34']
['3', '34', '37']
['3', '34', '29']
['36', '29', '3']
['3', '34', '29']
['3', '29', '36']
['37', '29', '3']
['34', '29', '37']
['3', '36', '29']
['36', '37', '29']
['29', '37', '36']
['37', '29', '3']
['34', '37', '36']
['36', '34', '37']
['3', '29', '37']
['36', '37', '29']
['29', '3', '34']
['36', '34', '29']
['29', '3', '37']
['29', '34', '3']
['3', '34', '37']
['36', '37', '34']
['29', '34', '37']
['36', '3', '34']
['29', '34', '36']
['36', '3', '29']
['36', '29', '37']
['3', '34', '29']
['37', '36', '34']
['3', '36', '29']
['36', '29', '3']
['36', '3', '29']
['3', '29', '37']
['36', '29', '37']
['34', '36', '29']
['3', '34', '36']
['3', '34', '37']
['3', '29', '36']
['3', '34', '36']
['34', '36', '37']
['36', '3', '29']
['29', '3', '36']
['3', '37', '36']
['34', '37', '29']
['36', '37', '3']
['29', '36', '3']
['37', '36', '34']
['36', '37', '3']
['34', '36', '37']
['3', '29', '36']
['3', '36', '34']
['3', '37', '29']
['36', '34', '3']
['34', '36', '37']
['34', '3', '29']
['3', '37', '34']
['37', '36', '34']
['29', '36', '34']
['3', '36', '37']
['34', '29', '3']
['34', '29', '37']
['3', '37', '36']
['3', '29', '37']
['36', '3', '34']
['3', '37', '36']
['37', '29', '36']
['3', '34', '37']
['3', '29', '34']
['3', '37', '36']
['36', '3', '34']
['37', '3', '29']
['36', '34', '3']
['36', '3', '34']
['3', '36', '34']
['34', '29', '37']
['34', '36', '37']
['36', '34', '3']
['34', '3', '36']
['3', '29', '36']
['37', '34', '29']
['36', '29', '3']
['29', '34', '37']
['3', '37', '34']
['3', '36', '37']
['29', '34', '3']
['29', '37', '34']
['37', '29', '36']
['36', '3', '37']
