['167', '180', '187', '335', '74', '258']
['130', '31', '601', '633', '18', '208']
['70', '461', '72', '421', '390', '36']
['663', '649', '322', '211', '170', '417']
['681', '374', '690', '104', '628', '12']
['256', '479', '676', '667', '393', '129']
['496', '351', '50', '575', '566', '73']
['579', '603', '62', '406', '560', '634']
['525', '26', '230', '331', '578', '569']
['255', '325', '35', '178', '444', '96']
['278', '500', '301', '529', '226', '303']
['623', '352', '701', '657', '604', '280']
['21', '228', '152', '441', '223', '482']
['151', '277', '402', '309', '594', '290']
['527', '497', '502', '613', '533', '443']
['664', '285', '618', '95', '659', '673']
['219', '565', '356', '648', '503', '437']
['687', '462', '253', '227', '298', '288']
['439', '563', '334', '37', '493', '29']
['355', '312', '140', '589', '524', '85']
['476', '333', '233', '122', '204', '715']
['697', '561', '344', '292', '543', '428']
['44', '549', '169', '478', '655', '658']
['550', '717', '573', '387', '353', '314']
['7', '516', '225', '556', '617', '43']
['20', '581', '551', '626', '688', '293']
['554', '416', '101', '15', '126', '367']
['222', '13', '195', '704', '358', '375']
['495', '448', '468', '531', '389', '586']
['163', '488', '88', '203', '666', '260']
['392', '491', '559', '388', '446', '321']
['350', '176', '112', '281', '146', '11']
['427', '372', '66', '306', '28', '185']
['111', '391', '501', '662', '212', '440']
['80', '515', '157', '118', '105', '460']
['10', '535', '274', '323', '123', '558']
['436', '614', '40', '572', '16', '438']
['379', '644', '510', '530', '669', '249']
['68', '585', '598', '505', '235', '215']
['695', '269', '202', '48', '544', '345']
['139', '680', '329', '714', '121', '4']
['562', '596', '638', '607', '661', '377']
['552', '693', '359', '385', '609', '487']
['711', '555', '58', '142', '541', '621']
['625', '360', '265', '231', '166', '332']
['640', '144', '300', '3', '600', '236']
['245', '184', '317', '113', '537', '459']
['357', '284', '404', '61', '435', '645']
['289', '534', '257', '340', '339', '14']
['8', '430', '27', '520', '135', '465']
['193', '612', '65', '656', '182', '110']
['53', '584', '9', '677', '254', '424']
['148', '678', '369', '220', '19', '259']
['518', '564', '381', '449', '691', '343']
['508', '324', '347', '540', '380', '602']
['522', '671', '361', '141', '709', '162']
['183', '291', '477', '577', '396', '69']
['452', '513', '485', '42', '244', '78']
['643', '247', '383', '186', '407', '349']
['46', '433', '507', '133', '175', '545']
['38', '582', '125', '365', '161', '615']
['376', '685', '670', '79', '327', '326']
['198', '450', '512', '455', '470', '194']
['457', '276', '25', '463', '177', '97']
['75', '136', '542', '366', '426', '504']
['719', '316', '89', '302', '702', '591']
['674', '630', '143', '517', '159', '191']
['294', '56', '672', '271', '703', '120']
['210', '308', '221', '686', '318', '684']
['647', '145', '214', '447', '458', '595']
['188', '241', '213', '275', '423', '76']
['246', '492', '683', '238', '650', '158']
['39', '71', '181', '521', '341', '354']
['474', '216', '456', '330', '63', '103']
['494', '608', '286', '81', '646', '201']
['637', '108', '431', '445', '51', '451']
['481', '568', '264', '237', '570', '99']
['523', '689', '82', '716', '692', '571']
['47', '528', '336', '484', '156', '23']
['268', '368', '526', '567', '93', '171']
['624', '370', '378', '574', '694', '509']
['67', '92', '675', '696', '218', '224']
['364', '250', '382', '263', '629', '134']
['593', '2', '86', '304', '654', '209']
['418', '17', '190', '107', '422', '548']
['98', '128', '442', '583', '77', '642']
['234', '610', '708', '173', '262', '632']
['410', '196', '620', '712', '412', '547']
['282', '299', '33', '22', '242', '232']
['189', '710', '668', '320', '499', '94']
['147', '483', '398', '239', '87', '117']
['419', '102', '514', '272', '557', '168']
['34', '132', '64', '631', '611', '473']
['160', '287', '172', '0', '251', '328']
['415', '54', '700', '119', '49', '283']
['165', '506', '660', '636', '84', '319']
['337', '707', '432', '453', '252', '706']
['55', '45', '266', '403', '472', '124']
['6', '627', '1', '386', '155', '91']
['486', '597', '414', '718', '59', '270']
['116', '429', '348', '588', '90', '394']
['149', '454', '682', '32', '599', '420']
['131', '408', '5', '174', '395', '273']
['115', '425', '154', '397', '651', '261']
['164', '192', '229', '587', '199', '489']
['83', '315', '639', '373', '538', '342']
['400', '207', '469', '150', '313', '153']
['590', '296', '698', '539', '200', '498']
['297', '137', '665', '619', '553', '240']
['346', '30', '295', '197', '606', '635']
['127', '592', '363', '641', '467', '311']
['699', '434', '217', '52', '413', '205']
['338', '60', '384', '405', '371', '532']
['705', '653', '399', '307', '138', '480']
['652', '511', '713', '279', '310', '24']
['106', '576', '475', '305', '466', '109']
['622', '41', '679', '362', '114', '248']
['580', '519', '536', '546', '267', '471']
['409', '616', '57', '490', '401', '179']
['464', '411', '243', '206', '605', '100']
