['436', '138', '800', '610', '20', '848', '732', '318', '424', '110', '19', '759', '620', '96', '392', '720', '709', '792', '804', '157', '547', '845', '159', '49', '184', '570', '644', '455', '368', '677', '172', '6', '145', '216', '305']
['357', '749', '690', '140', '632', '795', '507', '702', '510', '240', '643', '321', '771', '664', '212', '562', '674', '843', '146', '66', '202', '457', '814', '59', '120', '407', '408', '484', '670', '162', '375', '741', '636', '300', '822']
['464', '417', '126', '411', '179', '101', '545', '583', '122', '748', '779', '786', '469', '851', '577', '705', '534', '204', '525', '753', '711', '229', '692', '637', '372', '817', '94', '226', '40', '169', '303', '557', '341', '437', '29']
['222', '776', '118', '503', '459', '9', '855', '588', '324', '569', '14', '441', '295', '615', '816', '701', '354', '419', '645', '463', '390', '678', '666', '624', '107', '67', '489', '70', '214', '604', '715', '248', '699', '601', '844']
['560', '133', '147', '234', '367', '430', '221', '12', '426', '132', '286', '551', '194', '155', '364', '538', '198', '512', '626', '342', '277', '571', '823', '393', '673', '220', '237', '186', '568', '304', '584', '125', '378', '835', '650']
['360', '766', '8', '693', '306', '470', '16', '765', '68', '811', '609', '529', '704', '250', '450', '213', '170', '129', '197', '272', '642', '174', '245', '405', '649', '370', '396', '64', '384', '589', '754', '223', '854', '726', '258']
['434', '613', '564', '826', '482', '663', '406', '471', '821', '852', '263', '431', '409', '93', '289', '42', '595', '73', '89', '515', '797', '217', '788', '745', '727', '619', '565', '385', '30', '796', '497', '265', '706', '498', '88']
['224', '535', '75', '299', '386', '734', '772', '700', '23', '428', '625', '334', '168', '371', '439', '395', '193', '257', '50', '335', '665', '183', '630', '533', '41', '0', '531', '599', '236', '121', '628', '586', '801', '278', '283']
['307', '17', '401', '592', '45', '123', '231', '714', '530', '297', '219', '112', '76', '659', '585', '603', '397', '559', '345', '453', '617', '349', '442', '783', '373', '818', '747', '163', '127', '743', '694', '616', '246', '488', '276']
['432', '359', '377', '456', '134', '61', '831', '325', '506', '340', '574', '235', '695', '294', '780', '267', '671', '309', '828', '505', '540', '478', '182', '117', '578', '262', '639', '188', '708', '388', '444', '761', '142', '114', '400']
['113', '495', '79', '167', '232', '641', '491', '374', '446', '655', '71', '338', '281', '11', '290', '631', '181', '185', '554', '153', '78', '508', '412', '793', '485', '573', '516', '353', '614', '785', '513', '87', '633', '52', '713']
['629', '654', '698', '379', '161', '199', '443', '319', '369', '225', '387', '128', '466', '744', '532', '556', '782', '293', '541', '80', '582', '104', '28', '607', '65', '7', '361', '501', '716', '477', '21', '646', '839', '791', '164']
['26', '850', '31', '253', '521', '527', '605', '621', '686', '724', '46', '124', '675', '154', '218', '316', '572', '43', '496', '523', '465', '261', '757', '539', '511', '363', '102', '383', '331', '710', '362', '136', '634', '449', '249']
['802', '308', '215', '416', '252', '207', '48', '837', '284', '130', '10', '413', '292', '343', '784', '34', '415', '803', '39', '687', '95', '243', '55', '728', '445', '323', '85', '773', '733', '763', '738', '15', '175', '60', '53']
['429', '264', '99', '789', '769', '746', '524', '627', '722', '536', '410', '238', '382', '92', '829', '47', '270', '660', '414', '825', '381', '376', '549', '2', '651', '558', '638', '483', '228', '680', '191', '423', '358', '846', '561']
['13', '768', '58', '83', '451', '452', '160', '296', '435', '764', '751', '546', '274', '461', '200', '27', '365', '275', '22', '719', '853', '350', '5', '18', '344', '492', '266', '137', '494', '518', '490', '241', '684', '3', '526']
['480', '587', '787', '32', '152', '333', '427', '329', '77', '242', '268', '597', '812', '567', '255', '438', '809', '778', '74', '108', '230', '106', '815', '593', '251', '203', '448', '685', '63', '356', '777', '552', '402', '176', '273']
['596', '190', '208', '139', '575', '612', '622', '109', '25', '487', '479', '827', '425', '149', '351', '337', '355', '69', '689', '282', '775', '696', '328', '735', '543', '332', '105', '847', '227', '832', '661', '205', '171', '756', '287']
['173', '311', '820', '86', '519', '420', '422', '57', '399', '310', '301', '611', '454', '327', '421', '723', '721', '555', '697', '320', '653', '141', '260', '269', '209', '742', '799', '760', '244', '447', '398', '239', '520', '810', '550']
['502', '781', '739', '635', '849', '731', '288', '740', '691', '90', '103', '602', '591', '762', '662', '440', '44', '33', '116', '481', '211', '730', '291', '404', '598', '669', '347', '548', '348', '486', '196', '750', '189', '462', '528']
['648', '770', '177', '703', '91', '580', '256', '271', '394', '115', '36', '807', '688', '81', '808', '180', '201', '755', '752', '656', '366', '836', '576', '100', '254', '514', '403', '285', '279', '737', '259', '824', '842', '195', '298']
['458', '590', '165', '563', '148', '623', '672', '476', '794', '472', '544', '144', '467', '600', '717', '389', '391', '581', '37', '62', '210', '233', '247', '805', '352', '834', '682', '97', '54', '302', '683', '339', '143', '606', '313']
['712', '608', '718', '475', '206', '82', '813', '150', '566', '111', '460', '758', '84', '35', '156', '640', '841', '657', '838', '667', '652', '553', '1', '418', '433', '499', '668', '4', '330', '790', '493', '322', '819', '725', '158']
['380', '681', '166', '468', '647', '280', '618', '509', '579', '72', '537', '24', '774', '314', '178', '312', '474', '119', '326', '517', '38', '840', '707', '767', '798', '500', '736', '522', '56', '473', '187', '131', '336', '806', '192']
['658', '676', '346', '729', '833', '594', '151', '317', '315', '679', '51', '542', '135', '98', '504', '830']
