['135', '841', '991', '812', '663', '952', '575', '270', '655', '684', '192', '128', '342', '816', '781', '97', '322', '902', '504', '948', '385', '227', '285', '325', '675']
['726', '358', '78', '7', '547', '311', '398', '417', '825', '789', '361', '935', '878', '139', '382', '977', '259', '698', '15', '262', '463', '937', '55', '229', '845']
['858', '529', '635', '344', '282', '399', '492', '748', '3', '306', '720', '19', '490', '543', '670', '634', '452', '339', '210', '443', '367', '551', '169', '368', '58']
['761', '57', '774', '106', '534', '572', '765', '997', '118', '14', '815', '247', '167', '223', '439', '478', '755', '202', '263', '411', '725', '611', '910', '678', '884']
['146', '476', '336', '232', '415', '434', '236', '556', '458', '805', '803', '242', '906', '147', '791', '831', '264', '752', '920', '296', '183', '90', '381', '843', '528']
['257', '93', '279', '981', '45', '343', '243', '246', '712', '334', '834', '642', '625', '796', '295', '907', '975', '804', '891', '838', '660', '420', '187', '337', '632']
['637', '402', '166', '237', '455', '397', '942', '349', '184', '101', '557', '933', '554', '864', '517', '340', '206', '754', '267', '370', '188', '515', '628', '40', '901']
['735', '649', '521', '100', '519', '833', '462', '745', '550', '586', '91', '709', '865', '893', '743', '700', '961', '866', '488', '522', '711', '697', '302', '318', '874']
['216', '265', '734', '182', '144', '650', '955', '467', '379', '999', '795', '652', '409', '436', '324', '530', '733', '703', '479', '863', '790', '205', '450', '900', '328']
['359', '668', '351', '819', '275', '44', '732', '116', '820', '954', '518', '654', '364', '315', '65', '377', '160', '567', '800', '964', '298', '570', '996', '706', '771']
['939', '669', '696', '904', '81', '710', '943', '505', '25', '249', '21', '28', '549', '620', '699', '62', '679', '994', '769', '888', '908', '268', '213', '390', '67']
['912', '175', '892', '794', '231', '41', '491', '569', '37', '143', '947', '281', '356', '897', '951', '666', '717', '149', '70', '932', '593', '619', '561', '489', '503']
['775', '772', '639', '722', '24', '729', '274', '50', '408', '603', '365', '686', '689', '759', '179', '847', '600', '245', '299', '133', '17', '222', '835', '541', '470']
['797', '659', '982', '749', '290', '92', '629', '973', '435', '16', '990', '271', '418', '766', '903', '526', '66', '280', '341', '38', '197', '687', '108', '661', '681']
['966', '82', '719', '868', '172', '305', '798', '899', '695', '126', '851', '68', '738', '651', '674', '516', '383', '162', '881', '323', '860', '224', '799', '777', '542']
['546', '13', '195', '588', '693', '22', '301', '395', '995', '756', '818', '837', '156', '335', '919', '461', '120', '51', '944', '499', '590', '293', '369', '105', '701']
['137', '391', '427', '702', '979', '916', '64', '501', '713', '157', '998', '536', '26', '963', '481', '707', '61', '589', '309', '512', '514', '839', '442', '355', '312']
