['336', '356', '153']
['713', '461', '687']
['768', '971', '417']
['863', '56', '957']
['441', '198', '406']
['740', '314', '521']
['139', '498', '481']
['735', '854', '578']
['852', '469', '918']
['968', '575', '935']
['834', '900', '809']
['253', '702', '132']
['670', '992', '807']
['996', '363', '88']
['329', '856', '382']
['109', '763', '433']
['454', '206', '202']
['320', '87', '410']
['121', '937', '597']
['531', '414', '244']
['31', '857', '326']
['178', '983', '180']
['545', '527', '405']
['386', '612', '765']
['479', '570', '591']
['843', '572', '292']
['439', '137', '897']
['825', '464', '11']
['829', '520', '580']
['293', '540', '610']
['734', '485', '903']
['304', '725', '486']
['147', '661', '47']
['182', '972', '60']
['985', '909', '812']
['681', '211', '672']
['505', '387', '882']
['791', '500', '393']
['542', '275', '430']
['66', '979', '519']
['497', '801', '721']
['789', '219', '673']
['706', '380', '62']
['216', '842', '908']
['668', '910', '425']
['224', '232', '873']
['54', '473', '310']
['381', '973', '52']
['695', '317', '553']
['884', '541', '923']
['328', '828', '478']
['921', '862', '334']
['462', '881', '456']
['657', '593', '526']
['785', '307', '91']
['646', '699', '941']
['999', '82', '28']
['714', '977', '844']
['959', '392', '73']
['376', '664', '677']
['480', '845', '396']
['55', '720', '620']
['626', '596', '731']
['628', '148', '286']
['859', '592', '953']
['482', '754', '503']
['939', '794', '926']
['666', '234', '950']
['712', '252', '724']
['437', '546', '756']
['537', '607', '853']
['491', '736', '686']
['798', '938', '325']
['36', '100', '431']
['302', '30', '623']
['752', '273', '321']
['493', '579', '362']
['792', '472', '654']
['708', '201', '69']
['240', '783', '287']
['159', '225', '366']
['85', '796', '912']
['384', '209', '824']
['942', '268', '827']
['969', '943', '804']
['254', '613', '323']
['944', '787', '1']
['169', '644', '205']
['640', '90', '27']
['568', '288', '463']
['379', '993', '291']
['309', '195', '788']
['839', '120', '987']
['256', '239', '830']
['928', '692', '617']
['458', '518', '324']
['248', '231', '988']
['745', '168', '0']
['408', '700', '851']
['445', '588', '516']
['746', '551', '41']
['831', '175', '682']
['238', '860', '415']
['192', '173', '235']
['530', '251', '846']
['243', '294', '675']
['484', '249', '189']
['157', '397', '442']
['680', '810', '186']
['271', '241', '995']
['642', '172', '630']
['554', '438', '494']
['14', '523', '171']
['465', '207', '650']
['940', '450', '850']
['59', '365', '611']
['543', '33', '401']
['757', '990', '997']
['693', '158', '331']
['337', '648', '258']
['150', '349', '556']
['838', '118', '793']
['23', '888', '2']
['566', '117', '855']
['223', '811', '496']
['502', '163', '528']
['257', '128', '606']
['886', '308', '104']
['848', '821', '390']
['71', '927', '833']
['601', '515', '933']
['835', '83', '548']
['647', '453', '557']
['577', '214', '488']
['297', '880', '742']
['802', '574', '544']
['289', '994', '636']
['455', '413', '143']
['598', '246', '747']
['281', '81', '605']
['187', '276', '866']
['353', '561', '600']
['667', '300', '826']
['509', '340', '75']
['913', '79', '404']
['213', '759', '514']
['343', '372', '698']
