['79', '121', '229', '614', '294', '401', '382']
['154', '613', '515', '649', '129', '532', '372']
['179', '485', '442', '680', '385', '472', '612']
['665', '262', '578', '173', '193', '323', '53']
['507', '324', '91', '201', '456', '249', '462']
['516', '635', '266', '361', '84', '264', '666']
['655', '117', '357', '94', '427', '682', '370']
['178', '448', '250', '534', '484', '348', '18']
['425', '164', '242', '240', '558', '441', '430']
['275', '446', '502', '435', '22', '593', '419']
['499', '364', '6', '253', '478', '591', '656']
['344', '128', '334', '71', '661', '544', '523']
['599', '563', '125', '543', '420', '689', '664']
['210', '681', '171', '585', '668', '270', '378']
['589', '508', '601', '80', '16', '41', '645']
['423', '142', '143', '538', '225', '594', '4']
['126', '62', '255', '48', '146', '223', '698']
['15', '311', '31', '144', '519', '580', '421']
['134', '547', '177', '434', '607', '577', '560']
['274', '305', '492', '181', '327', '21', '537']
['583', '639', '618', '183', '636', '104', '678']
['691', '676', '295', '203', '633', '377', '501']
['570', '629', '561', '486', '395', '699', '300']
['346', '261', '569', '688', '466', '640', '630']
['608', '596', '320', '622', '150', '342', '158']
['217', '644', '437', '259', '289', '394', '481']
['232', '279', '44', '170', '663', '347', '271']
['648', '365', '548', '672', '679', '156', '662']
['467', '611', '627', '9', '533', '35', '76']
['321', '228', '541', '196', '67', '449', '632']
['309', '27', '669', '157', '562', '107', '670']
['444', '57', '92', '403', '246', '349', '198']
['230', '473', '687', '186', '75', '351', '454']
['363', '165', '233', '587', '137', '407', '471']
['592', '393', '451', '603', '172', '28', '114']
['697', '81', '495', '675', '402', '263', '685']
['66', '531', '64', '103', '207', '47', '552']
['55', '74', '85', '369', '392', '135', '312']
['163', '493', '296', '139', '115', '291', '272']
['695', '40', '554', '34', '200', '605', '453']
['283', '355', '524', '43', '573', '341', '546']
['340', '195', '317', '489', '282', '366', '424']
['298', '87', '213', '332', '380', '256', '188']
['445', '477', '202', '368', '504', '247', '480']
['396', '626', '257', '227', '469', '184', '78']
['17', '25', '359', '101', '287', '299', '5']
['239', '418', '674', '642', '474', '506', '122']
['322', '33', '209', '559', '192', '406', '526']
['116', '248', '410', '39', '127', '604', '221']
['550', '59', '584', '405', '503', '443', '19']
['429', '400', '690', '408', '141', '330', '160']
['119', '7', '354', '136', '683', '244', '252']
['356', '431', '527', '23', '565', '564', '433']
['161', '490', '238', '45', '49', '432', '306']
['426', '8', '557', '3', '285', '147', '384']
['417', '12', '319', '654', '684', '301', '303']
['149', '176', '26', '659', '182', '335', '616']
['191', '345', '367', '409', '371', '245', '637']
['243', '96', '447', '166', '571', '326', '131']
['404', '568', '29', '535', '90', '97', '50']
['549', '113', '304', '328', '428', '631', '511']
['620', '651', '277', '310', '316', '219', '641']
['513', '458', '222', '463', '194', '498', '58']
['638', '112', '226', '482', '650', '190', '302']
['106', '509', '318', '199', '411', '572', '694']
['205', '615', '130', '133', '220', '450', '315']
['278', '108', '236', '497', '36', '476', '189']
['566', '46', '174', '646', '167', '373', '517']
['555', '123', '440', '273', '539', '525', '414']
['314', '254', '610', '10', '621', '505', '77']
['333', '60', '258', '234', '105', '623', '206']
['530', '398', '460', '459', '693', '155', '399']
['88', '98', '120', '383', '111', '180', '99']
['110', '138', '293', '671', '336', '162', '586']
['483', '647', '132', '93', '95', '269', '624']
['82', '286', '439', '52', '422', '231', '581']
['692', '68', '237', '169', '153', '600', '145']
['56', '63', '100', '415', '379', '576', '175']
['597', '152', '69', '267', '325', '211', '215']
['20', '567', '553', '381', '465', '376', '151']
['159', '595', '374', '487', '512', '338', '510']
['588', '30', '391', '343', '339', '658', '582']
['412', '352', '276', '625', '677', '470', '70']
['61', '290', '416', '590', '204', '479', '464']
['353', '118', '598', '575', '468', '452', '72']
['216', '1', '634', '214', '542', '38', '297']
['185', '375', '518', '540', '686', '329', '494']
['545', '628', '260', '73', '280', '358', '500']
['11', '241', '65', '390', '579', '520', '124']
['313', '83', '660', '14', '331', '362', '397']
['461', '218', '514', '574', '281', '438', '652']
['148', '696', '556', '51', '109', '529', '308']
['284', '488', '187', '475', '54', '673', '386']
['551', '268', '388', '350', '235', '251', '224']
['24', '168', '307', '288', '387', '455', '102']
['337', '619', '617', '609', '32', '197', '602']
['643', '496', '528', '2', '606', '657', '0']
['389', '667', '208', '265', '653', '140', '413']
['457', '42', '292', '360', '522', '86', '436']
['212', '521', '13', '37', '536', '491', '89']
