['727', '504', '450', '622', '279', '23', '399', '583', '784', '13', '881', '844', '609', '7', '35', '458', '421', '793', '636', '827', '803', '605', '34', '659', '427', '68', '291', '885', '791', '617', '310', '514', '296', '177', '171', '417', '250', '886', '652', '584', '487', '50', '700', '197', '705']
['300', '432', '106', '243', '559', '500', '265', '503', '194', '669', '619', '133', '425', '480', '706', '349', '738', '367', '218', '866', '697', '31', '579', '822', '181', '376', '743', '741', '693', '153', '638', '69', '223', '204', '662', '215', '711', '715', '712', '724', '874', '146', '53', '62', '666']
['819', '817', '83', '867', '254', '627', '20', '670', '361', '136', '275', '383', '424', '428', '141', '882', '0', '577', '783', '139', '775', '137', '890', '770', '437', '102', '299', '582', '415', '873', '834', '208', '546', '533', '606', '828', '332', '541', '166', '449', '373', '58', '105', '833', '650']
['64', '238', '472', '813', '6', '210', '25', '398', '740', '179', '616', '284', '488', '696', '290', '694', '569', '467', '392', '692', '475', '839', '442', '801', '647', '43', '725', '796', '266', '656', '879', '507', '490', '887', '888', '468', '180', '188', '142', '794', '684', '604', '632', '742', '356']
['891', '172', '690', '529', '406', '779', '644', '717', '216', '780', '542', '377', '230', '114', '334', '59', '781', '123', '323', '260', '213', '339', '758', '807', '878', '252', '876', '610', '525', '534', '846', '190', '863', '678', '549', '673', '756', '532', '201', '626', '320', '557', '862', '897', '251']
['66', '612', '378', '556', '685', '380', '539', '327', '366', '871', '808', '72', '79', '486', '795', '28', '445', '150', '536', '211', '343', '477', '433', '850', '322', '766', '130', '248', '548', '768', '843', '156', '17', '858', '328', '27', '543', '761', '824', '184', '660', '799', '759', '438', '478']
['95', '474', '810', '42', '192', '501', '183', '151', '241', '835', '528', '321', '463', '689', '132', '412', '239', '110', '225', '837', '634', '124', '145', '418', '100', '8', '274', '325', '113', '233', '394', '851', '802', '82', '434', '384', '505', '623', '29', '800', '695', '324', '414', '89', '718']
['294', '709', '426', '256', '749', '101', '476', '111', '614', '641', '524', '865', '860', '739', '521', '396', '231', '357', '303', '691', '564', '516', '526', '601', '506', '682', '553', '812', '645', '253', '353', '736', '431', '744', '311', '877', '76', '869', '631', '408', '12', '115', '2', '90', '470']
['26', '782', '511', '220', '551', '674', '330', '899', '482', '792', '688', '273', '362', '677', '654', '18', '73', '494', '219', '411', '710', '88', '375', '301', '309', '748', '326', '732', '246', '147', '169', '509', '515', '637', '852', '93', '859', '461', '112', '708', '10', '594', '875', '464', '854']
['774', '228', '245', '544', '552', '24', '11', '469', '446', '849', '624', '237', '277', '244', '221', '847', '257', '750', '777', '135', '762', '825', '157', '370', '255', '699', '61', '119', '771', '289', '206', '104', '861', '764', '845', '785', '347', '831', '304', '787', '359', '590', '85', '512', '884']
['830', '395', '747', '889', '471', '91', '772', '818', '165', '120', '67', '842', '443', '364', '174', '264', '508', '746', '345', '122', '429', '585', '466', '517', '547', '760', '465', '365', '212', '667', '236', '655', '701', '198', '249', '797', '576', '811', '267', '333', '841', '720', '207', '530', '354']
['38', '55', '672', '382', '752', '402', '586', '734', '729', '92', '140', '687', '186', '721', '848', '613', '40', '707', '371', '628', '620', '297', '483', '175', '661', '683', '329', '103', '898', '202', '457', '109', '191', '308', '462', '857', '258', '278', '30', '566', '485', '896', '86', '790', '633']
['595', '676', '440', '423', '523', '502', '809', '580', '158', '572', '404', '78', '563', '338', '173', '602', '316', '352', '144', '170', '745', '369', '550', '5', '346', '44', '892', '430', '864', '786', '336', '167', '168', '481', '358', '214', '621', '276', '242', '341', '422', '554', '703', '391', '4']
['728', '755', '855', '491', '562', '63', '737', '121', '646', '776', '307', '293', '143', '510', '48', '227', '751', '319', '386', '185', '593', '96', '331', '75', '71', '805', '537', '519', '33', '222', '60', '368', '46', '247', '70', '565', '272', '178', '131', '1', '545', '393', '3', '195', '271']
['653', '460', '698', '259', '856', '16', '603', '829', '388', '444', '160', '226', '578', '447', '731', '403', '765', '21', '581', '22', '456', '838', '540', '832', '726', '815', '263', '200', '680', '161', '127', '527', '162', '778', '313', '640', '187', '314', '561', '484', '189', '618', '413', '451', '107']
['663', '870', '722', '769', '355', '608', '589', '716', '32', '497', '416', '454', '459', '643', '773', '138', '134', '288', '363', '224', '283', '600', '651', '664', '315', '574', '14', '479', '94', '129', '305', '240', '15', '893', '435', '538', '116', '203', '789', '735', '568', '493', '344', '880', '668']
['657', '182', '397', '814', '560', '671', '439', '520', '597', '155', '702', '317', '571', '74', '767', '118', '840', '730', '148', '642', '372', '513', '821', '733', '820', '665', '405', '555', '340', '159', '648', '37', '389', '409', '649', '607', '57', '757', '611', '385', '400', '410', '498', '390', '234']
['87', '199', '56', '292', '522', '635', '295', '209', '419', '853', '570', '49', '176', '714', '836', '351', '639', '154', '52', '298', '348', '235', '441', '381', '229', '81', '312', '152', '117', '19', '704', '719', '420', '489', '629', '164', '128', '686', '473', '80', '269', '193', '126', '285', '379']
['599', '281', '149', '588', '41', '306', '51', '350', '455', '9', '335', '286', '217', '823', '804', '436', '196', '280', '763', '499', '262', '77', '492', '495', '558', '798', '806', '496', '575', '453', '531', '587', '658', '45', '342', '232', '518', '387', '261', '826', '894', '788', '268', '448', '592']
['84', '452', '679', '407', '681', '39', '872', '883', '753', '125', '99', '205', '615', '754', '675', '47', '318', '360', '868', '108', '302', '591', '282', '630', '36', '567', '816', '54', '98', '337', '598', '535', '97', '163', '723', '713', '596', '573', '287', '65', '401', '625', '270', '895', '374']
