['496', '887', '860', '630', '194']
['217', '273', '660', '914', '554']
['924', '650', '545', '309', '69']
['911', '283', '189', '314', '224']
['432', '136', '966', '770', '463']
['396', '359', '726', '225', '713']
['779', '618', '788', '640', '846']
['384', '175', '328', '318', '668']
['120', '188', '416', '122', '886']
['171', '333', '561', '633', '868']
['601', '456', '723', '789', '275']
['808', '736', '801', '725', '798']
['439', '43', '546', '360', '666']
['413', '602', '576', '498', '121']
['465', '91', '317', '488', '780']
['692', '277', '191', '777', '252']
['187', '265', '369', '10', '688']
['235', '256', '700', '805', '520']
['444', '410', '598', '708', '337']
['593', '522', '7', '843', '212']
['853', '829', '831', '745', '560']
['193', '111', '608', '293', '968']
['881', '294', '163', '803', '712']
['517', '583', '595', '516', '291']
['11', '717', '386', '493', '759']
['878', '391', '690', '960', '443']
['611', '21', '917', '406', '773']
['883', '813', '46', '231', '524']
['186', '837', '234', '710', '696']
['739', '951', '57', '895', '424']
['785', '453', '930', '884', '123']
['849', '80', '126', '519', '656']
['651', '305', '414', '71', '505']
['431', '9', '707', '404', '301']
['702', '204', '272', '729', '769']
['876', '285', '591', '774', '226']
['269', '116', '581', '157', '117']
['904', '544', '950', '254', '184']
['530', '816', '270', '38', '740']
['959', '426', '781', '834', '185']
['792', '900', '506', '61', '104']
['597', '746', '469', '507', '647']
['141', '791', '604', '162', '955']
['856', '768', '927', '323', '490']
['482', '539', '392', '605', '324']
['657', '89', '513', '72', '433']
['354', '582', '400', '882', '867']
['350', '877', '95', '304', '200']
['954', '567', '652', '146', '448']
['271', '415', '251', '695', '920']
['55', '714', '921', '52', '446']
['20', '585', '749', '371', '594']
['897', '327', '17', '94', '418']
['771', '764', '563', '915', '991']
['815', '460', '263', '405', '875']
['931', '168', '683', '738', '385']
['677', '999', '727', '264', '472']
['381', '276', '925', '483', '459']
['720', '936', '518', '56', '492']
['4', '60', '476', '471', '962']
['852', '24', '259', '428', '818']
['865', '412', '643', '67', '144']
['689', '706', '799', '724', '134']
['858', '922', '253', '150', '394']
['14', '592', '63', '547', '278']
['45', '621', '929', '13', '610']
['370', '626', '455', '58', '420']
['983', '753', '893', '449', '229']
['673', '830', '731', '153', '663']
['752', '247', '863', '543', '806']
['894', '566', '437', '464', '174']
['596', '28', '353', '62', '440']
['54', '347', '173', '832', '842']
['214', '411', '239', '237', '77']
['22', '965', '603', '47', '249']
['939', '154', '230', '326', '537']
['441', '100', '180', '297', '995']
['267', '763', '732', '98', '794']
['421', '220', '703', '145', '565']
['824', '319', '754', '928', '659']
['475', '454', '32', '78', '573']
['682', '819', '728', '947', '223']
['833', '961', '51', '528', '503']
['321', '956', '654', '861', '176']
['981', '3', '102', '2', '398']
['588', '722', '255', '765', '287']
['721', '693', '862', '907', '531']
['847', '986', '311', '671', '335']
['12', '678', '280', '971', '906']
['238', '306', '178', '757', '397']
