['355', '70', '192', '561', '633', '670', '87', '745', '704', '81', '627', '511', '571', '645', '218', '361', '607', '108', '438', '177', '73', '529', '56', '454', '207', '450', '30', '493', '279', '245']
['691', '637', '268', '602', '606', '139', '193', '475', '260', '371', '615', '127', '148', '466', '679', '257', '314', '111', '232', '165', '74', '497', '440', '502', '445', '332', '224', '464', '508', '649']
['341', '28', '626', '463', '41', '403', '587', '275', '685', '6', '578', '638', '451', '727', '313', '138', '557', '94', '667', '184', '270', '5', '439', '143', '737', '121', '65', '469', '300', '480']
['273', '172', '249', '238', '448', '147', '458', '287', '565', '585', '534', '84', '51', '271', '494', '360', '702', '513', '34', '545', '336', '205', '29', '182', '324', '553', '692', '506', '564', '206']
['201', '130', '514', '115', '76', '15', '183', '305', '125', '573', '605', '537', '242', '49', '14', '696', '721', '306', '227', '42', '146', '693', '359', '231', '635', '358', '620', '179', '102', '612']
['36', '566', '373', '548', '420', '717', '22', '221', '96', '80', '499', '589', '401', '248', '149', '733', '648', '435', '348', '122', '133', '552', '286', '189', '591', '321', '137', '328', '363', '351']
['569', '210', '478', '446', '54', '202', '347', '424', '223', '392', '485', '339', '168', '484', '233', '250', '546', '295', '62', '365', '570', '650', '688', '739', '153', '317', '509', '160', '349', '171']
['539', '368', '728', '150', '97', '234', '67', '195', '3', '154', '369', '621', '523', '653', '9', '661', '24', '72', '579', '197', '708', '375', '416', '117', '672', '93', '550', '505', '370', '559']
['709', '377', '490', '185', '77', '43', '288', '741', '282', '142', '662', '698', '237', '618', '647', '498', '598', '393', '418', '671', '188', '526', '603', '219', '735', '381', '489', '583', '338', '399']
['57', '531', '701', '414', '12', '45', '664', '252', '78', '63', '222', '7', '311', '144', '432', '423', '406', '428', '128', '594', '52', '225', '479', '105', '419', '345', '157', '725', '601', '376']
['383', '176', '118', '588', '159', '429', '267', '404', '535', '520', '600', '584', '576', '319', '211', '384', '226', '507', '68', '134', '299', '212', '281', '581', '301', '554', '503', '175', '26', '540']
['453', '291', '517', '431', '297', '640', '415', '155', '680', '622', '433', '310', '174', '705', '325', '4', '663', '574', '198', '85', '527', '457', '652', '366', '630', '577', '405', '342', '724', '673']
['703', '322', '259', '253', '486', '40', '209', '264', '343', '547', '599', '382', '390', '344', '410', '629', '430', '251', '316', '518', '199', '586', '241', '634', '101', '722', '27', '83', '89', '204']
['114', '187', '312', '280', '196', '689', '690', '11', '71', '677', '228', '82', '215', '730', '140', '449', '443', '103', '720', '421', '617', '372', '254', '646', '398', '333', '240', '444', '109', '681']
['521', '91', '456', '236', '19', '385', '732', '491', '558', '468', '610', '425', '412', '364', '32', '510', '50', '474', '686', '452', '726', '123', '244', '191', '488', '437', '495', '386', '213', '524']
['592', '44', '714', '660', '31', '356', '47', '483', '362', '436', '16', '719', '10', '239', '17', '100', '166', '285', '611', '169', '116', '470', '269', '572', '542', '293', '477', '337', '609', '214']
['400', '194', '668', '334', '407', '549', '246', '625', '515', '742', '131', '346', '715', '628', '99', '643', '748', '327', '60', '695', '296', '387', '145', '277', '186', '292', '35', '434', '522', '422']
['447', '98', '471', '272', '580', '568', '320', '740', '129', '538', '700', '614', '676', '308', '678', '460', '411', '113', '455', '596', '75', '734', '687', '402', '395', '616', '713', '462', '106', '711']
['544', '530', '161', '352', '378', '315', '461', '694', '53', '13', '682', '276', '331', '391', '304', '738', '283', '8', '442', '152', '379', '289', '388', '731', '0', '501', '90', '656', '562', '723']
['265', '651', '541', '330', '354', '654', '126', '48', '556', '465', '235', '427', '247', '532', '107', '303', '597', '413', '543', '61', '258', '357', '55', '162', '278', '743', '481', '632', '230', '104']
['710', '110', '718', '699', '190', '261', '563', '37', '284', '335', '665', '396', '64', '380', '262', '229', '290', '164', '38', '683', '467', '66', '533', '567', '746', '203', '512', '417', '631', '353']
['674', '476', '684', '575', '318', '243', '555', '394', '389', '23', '492', '263', '736', '173', '459', '707', '408', '426', '59', '170', '181', '92', '560', '180', '69', '639', '158', '33', '119', '200']
['659', '516', '472', '302', '329', '135', '624', '669', '323', '528', '666', '136', '350', '256', '623', '744', '644', '46', '582', '397', '496', '25', '141', '487', '473', '519', '716', '120', '2', '178']
['208', '749', '220', '163', '593', '309', '367', '706', '255', '655', '675', '216', '409', '217', '340', '18', '551', '604', '21', '608', '500', '441', '747', '729', '697', '642', '326', '294', '590', '58']
['595', '86', '712', '1', '536', '613', '112', '274', '657', '132', '39', '619', '374', '88', '307', '266', '641', '79', '124', '658', '20', '95', '167', '525', '156', '298', '151', '504', '482', '636']
