['448', '186', '0', '238', '387', '746', '614', '12', '109', '712', '494', '679', '603', '144', '358', '304', '142', '196', '784', '35', '552', '42', '406', '161', '19', '231', '23', '316', '270', '14', '239', '87', '241', '250', '709', '400', '356', '361', '697', '754', '490', '149', '357', '362', '115', '459', '16', '405', '626', '96']
['32', '331', '604', '386', '524', '425', '633', '719', '436', '500', '559', '380', '730', '11', '273', '121', '88', '403', '467', '208', '44', '205', '706', '592', '46', '424', '456', '105', '432', '8', '312', '776', '473', '299', '787', '10', '643', '435', '418', '548', '593', '445', '286', '521', '52', '370', '243', '782', '300', '64']
['585', '710', '469', '482', '6', '409', '595', '384', '303', '637', '658', '34', '396', '38', '275', '251', '232', '199', '742', '772', '371', '721', '446', '296', '713', '373', '247', '688', '191', '187', '732', '320', '336', '127', '734', '529', '235', '193', '471', '244', '45', '716', '663', '141', '578', '30', '165', '329', '573', '297']
['156', '582', '725', '108', '631', '131', '85', '295', '458', '50', '146', '220', '113', '212', '287', '264', '185', '645', '257', '602', '292', '539', '178', '468', '143', '79', '182', '617', '313', '562', '175', '290', '553', '650', '84', '608', '749', '496', '472', '569', '129', '214', '61', '607', '394', '635', '58', '639', '330', '153']
['17', '686', '18', '321', '252', '354', '345', '99', '369', '1', '413', '213', '210', '101', '767', '543', '366', '698', '638', '621', '176', '254', '203', '28', '33', '789', '609', '431', '188', '797', '568', '762', '110', '522', '421', '51', '294', '27', '673', '743', '246', '652', '154', '455', '687', '577', '346', '659', '355', '49']
['374', '515', '248', '480', '119', '206', '737', '427', '735', '507', '678', '770', '764', '309', '43', '123', '599', '31', '301', '694', '207', '518', '305', '217', '277', '229', '41', '779', '636', '596', '133', '453', '360', '67', '204', '671', '565', '111', '451', '676', '53', '112', '574', '648', '672', '258', '280', '284', '325', '649']
['89', '594', '655', '429', '398', '550', '470', '223', '36', '642', '463', '81', '399', '632', '334', '343', '83', '168', '572', '308', '340', '537', '240', '799', '179', '65', '736', '63', '798', '29', '281', '433', '760', '242', '513', '377', '307', '306', '681', '627', '567', '695', '452', '462', '139', '714', '256', '48', '167', '718']
['757', '530', '282', '753', '166', '441', '255', '674', '60', '2', '791', '793', '91', '549', '785', '580', '225', '319', '397', '563', '628', '508', '619', '763', '464', '236', '68', '211', '727', '385', '724', '379', '516', '454', '342', '103', '417', '551', '560', '224', '644', '485', '717', '56', '274', '317', '21', '707', '654', '75']
['528', '249', '586', '683', '755', '534', '703', '218', '439', '620', '363', '615', '183', '237', '597', '685', '401', '98', '159', '120', '157', '690', '666', '126', '613', '402', '662', '705', '505', '169', '444', '739', '73', '266', '272', '328', '542', '350', '353', '715', '367', '682', '591', '222', '333', '570', '766', '576', '388', '72']
['209', '71', '415', '184', '82', '414', '391', '172', '152', '419', '693', '279', '514', '634', '9', '348', '423', '215', '298', '555', '422', '138', '174', '575', '726', '164', '731', '3', '519', '598', '794', '600', '723', '443', '532', '512', '195', '368', '289', '170', '198', '226', '118', '744', '630', '404', '352', '382', '651', '180']
['457', '359', '192', '647', '699', '293', '389', '200', '449', '151', '160', '788', '606', '589', '623', '97', '750', '720', '484', '759', '395', '140', '268', '253', '691', '326', '546', '781', '4', '390', '618', '177', '216', '641', '430', '581', '150', '130', '702', '95', '669', '771', '124', '722', '780', '93', '701', '302', '511', '132']
['47', '622', '393', '531', '271', '267', '332', '163', '381', '276', '194', '25', '517', '74', '646', '547', '738', '265', '54', '670', '335', '349', '155', '39', '538', '5', '769', '137', '675', '557', '442', '262', '510', '535', '748', '783', '407', '438', '526', '792', '365', '491', '778', '117', '786', '80', '561', '122', '364', '571']
['477', '26', '24', '189', '483', '677', '283', '773', '616', '411', '461', '481', '291', '221', '450', '541', '259', '426', '324', '741', '219', '497', '347', '629', '285', '509', '94', '584', '128', '416', '761', '378', '437', '263', '102', '55', '745', '502', '412', '440', '323', '758', '278', '15', '57', '245', '106', '90', '447', '545']
['790', '197', '145', '410', '554', '227', '92', '579', '564', '493', '148', '544', '478', '656', '558', '77', '70', '729', '747', '499', '489', '479', '260', '22', '310', '372', '376', '610', '588', '708', '540', '590', '162', '314', '383', '86', '288', '504', '466', '689', '116', '664', '536', '190', '322', '136', '476', '228', '375', '344']
['752', '339', '488', '503', '657', '59', '261', '498', '465', '434', '640', '733', '114', '234', '7', '680', '775', '134', '556', '506', '181', '76', '696', '495', '100', '158', '201', '487', '525', '202', '62', '566', '777', '601', '751', '230', '704', '765', '660', '692', '665', '486', '107', '612', '351', '269', '408', '492', '420', '13']
['104', '667', '796', '125', '327', '37', '66', '337', '171', '40', '428', '135', '740', '605', '520', '78', '795', '501', '173', '475', '700', '774', '147', '69', '233', '341', '523', '311', '684', '527', '756', '474', '338', '315', '533', '392', '587', '611', '668', '583', '460', '711', '653', '768', '624', '661', '318', '625', '20', '728']
