['370', '792', '288', '290']
['566', '120', '512', '506']
['98', '302', '705', '253']
['84', '173', '691', '90']
['402', '463', '584', '215']
['765', '759', '633', '239']
['460', '317', '322', '219']
['432', '416', '448', '269']
['594', '738', '650', '367']
['136', '568', '15', '344']
['638', '788', '741', '242']
['183', '544', '492', '156']
['646', '111', '720', '793']
['697', '658', '789', '138']
['399', '744', '286', '400']
['83', '119', '330', '184']
['670', '114', '228', '338']
['545', '798', '198', '548']
['117', '59', '60', '335']
['337', '781', '500', '231']
['247', '307', '151', '24']
['122', '189', '737', '299']
['144', '422', '731', '667']
['656', '736', '174', '483']
['362', '669', '430', '363']
['377', '733', '342', '137']
['496', '599', '206', '262']
['205', '477', '446', '142']
['303', '660', '69', '628']
['331', '474', '749', '455']
['462', '494', '632', '53']
['150', '74', '96', '116']
['50', '786', '34', '562']
['729', '721', '135', '542']
['429', '252', '391', '20']
['265', '465', '278', '541']
['218', '654', '605', '622']
['730', '445', '211', '78']
['475', '18', '130', '420']
['510', '311', '636', '714']
['686', '294', '666', '70']
['644', '358', '756', '141']
['458', '698', '536', '459']
['259', '54', '754', '684']
['40', '649', '441', '214']
['596', '312', '556', '77']
['588', '375', '129', '707']
['26', '780', '613', '437']
['727', '745', '444', '772']
['17', '266', '57', '19']
['95', '63', '774', '315']
['334', '554', '579', '143']
['524', '709', '101', '659']
['758', '735', '794', '276']
['558', '625', '682', '27']
['549', '592', '449', '498']
['163', '374', '571', '368']
['795', '389', '456', '217']
['44', '79', '42', '778']
['212', '734', '403', '509']
['501', '397', '41', '757']
['719', '514', '676', '158']
['631', '607', '5', '285']
['320', '573', '324', '21']
['742', '489', '43', '154']
['8', '640', '503', '629']
['581', '390', '263', '280']
['787', '586', '700', '722']
['191', '604', '7', '540']
['427', '38', '642', '699']
['4', '146', '185', '576']
['91', '226', '369', '504']
['748', '279', '234', '770']
['497', '443', '531', '180']
['423', '62', '783', '515']
['764', '225', '13', '648']
['406', '410', '739', '530']
['72', '614', '419', '113']
['161', '482', '569', '481']
['461', '355', '45', '611']
['782', '220', '695', '131']
['321', '393', '601', '746']
['304', '268', '677', '195']
['522', '664', '149', '689']
['539', '281', '412', '49']
['776', '51', '92', '433']
['395', '33', '472', '199']
['22', '155', '476', '162']
['65', '308', '567', '428']
['202', '438', '329', '48']
['229', '386', '551', '0']
['121', '706', '243', '763']
['227', '490', '710', '140']
['182', '125', '208', '617']
['210', '762', '580', '102']
['450', '425', '671', '359']
['414', '176', '525', '39']
['590', '35', '261', '728']
['73', '743', '652', '767']
['319', '535', '663', '193']
['495', '190', '382', '396']
['502', '32', '349', '157']
['559', '52', '608', '152']
['618', '246', '107', '466']
['203', '373', '82', '115']
['177', '755', '708', '175']
['67', '192', '244', '585']
['237', '411', '233', '439']
['196', '376', '316', '200']
['565', '97', '86', '118']
['777', '318', '702', '609']
['333', '575', '385', '254']
['106', '479', '352', '620']
['364', '350', '398', '679']
['560', '499', '345', '29']
['75', '717', '250', '87']
['47', '178', '1', '582']
['357', '66', '10', '454']
['300', '487', '589', '784']
['133', '272', '336', '354']
['532', '753', '293', '574']
['64', '637', '23', '256']
['600', '593', '132', '769']
['493', '641', '457', '791']
['238', '166', '168', '452']
['405', '674', '46', '712']
['387', '665', '56', '675']
['108', '25', '105', '85']
['453', '245', '442', '404']
['716', '470', '378', '703']
['258', '595', '685', '313']
['153', '630', '747', '693']
['643', '480', '30', '271']
['283', '222', '550', '251']
['471', '570', '58', '657']
['413', '681', '467', '751']
['230', '647', '284', '687']
['517', '274', '417', '485']
['328', '147', '464', '270']
['339', '314', '426', '491']
['424', '169', '165', '761']
['160', '201', '100', '421']
['724', '564', '372', '434']
['2', '606', '186', '547']
['309', '124', '36', '93']
['347', '167', '597', '528']
['696', '145', '451', '94']
['88', '508', '771', '68']
['80', '3', '164', '241']
['616', '563', '273', '505']
['447', '332', '635', '409']
['187', '104', '672', '194']
['415', '55', '484', '790']
['346', '248', '546', '534']
['109', '732', '81', '768']
['340', '775', '6', '327']
['610', '557', '521', '103']
['213', '37', '436', '750']
['513', '260', '662', '624']
['773', '797', '383', '407']
['112', '356', '392', '148']
['615', '538', '598', '766']
['468', '267', '61', '123']
['296', '779', '14', '323']
['418', '725', '255', '365']
['235', '179', '519', '171']
['526', '678', '159', '277']
['275', '553', '197', '31']
['264', '799', '306', '134']
['341', '360', '639', '12']
['634', '384', '692', '298']
['170', '297', '379', '619']
['408', '76', '591', '388']
['380', '529', '431', '394']
['785', '240', '99', '653']
['683', '726', '401', '561']
['343', '760', '310', '511']
['752', '701', '207', '440']
['366', '126', '516', '555']
['740', '257', '713', '223']
['287', '690', '796', '655']
['9', '128', '28', '688']
['612', '577', '583', '572']
['353', '488', '188', '16']
['645', '602', '518', '326']
['694', '325', '621', '348']
['507', '216', '533', '381']
['552', '127', '486', '236']
['224', '673', '668', '435']
['71', '172', '587', '301']
['289', '282', '204', '305']
['537', '473', '527', '626']
['110', '603', '578', '232']
['718', '543', '661', '292']
['651', '295', '11', '680']
['209', '715', '361', '623']
['469', '723', '89', '181']
['523', '139', '627', '221']
['371', '351', '711', '704']
['520', '478', '249', '291']
