['510', '730', '653', '616', '553', '43', '144', '907', '989', '534', '321', '215', '752', '349', '0', '905', '443', '692', '547', '170']
['832', '122', '193', '974', '462', '580', '118', '589', '223', '227', '438', '803', '263', '492', '943', '647', '129', '833', '374', '695']
['849', '658', '428', '173', '237', '955', '419', '412', '679', '482', '178', '965', '258', '575', '6', '89', '388', '979', '338', '594']
['50', '714', '181', '699', '225', '400', '53', '532', '828', '386', '788', '918', '99', '535', '648', '976', '566', '825', '160', '573']
['52', '207', '404', '200', '306', '302', '141', '314', '702', '224', '123', '870', '864', '940', '688', '507', '19', '502', '499', '812']
['994', '734', '3', '852', '968', '357', '315', '7', '340', '483', '240', '442', '356', '77', '811', '49', '463', '915', '555', '556']
['479', '858', '627', '927', '821', '324', '639', '743', '964', '706', '942', '725', '331', '310', '711', '14', '59', '930', '142', '662']
['90', '272', '951', '416', '888', '816', '593', '439', '267', '949', '42', '198', '280', '640', '307', '548', '344', '925', '252', '718']
['824', '713', '646', '570', '231', '622', '676', '451', '276', '998', '433', '717', '563', '538', '155', '197', '602', '254', '782', '233']
['411', '145', '837', '791', '190', '250', '109', '473', '827', '41', '396', '471', '829', '898', '368', '794', '810', '201', '823', '766']
['910', '972', '708', '444', '789', '542', '385', '596', '9', '25', '29', '808', '719', '893', '844', '146', '637', '11', '696', '136']
['830', '526', '429', '285', '465', '448', '814', '665', '857', '843', '541', '408', '801', '848', '171', '894', '381', '490', '369', '328']
['765', '577', '901', '842', '454', '422', '10', '187', '921', '799', '334', '478', '723', '633', '800', '982', '882', '987', '161', '370']
['701', '983', '669', '537', '16', '750', '923', '434', '68', '503', '219', '740', '323', '73', '675', '172', '961', '838', '769', '771']
['393', '389', '130', '119', '116', '268', '747', '113', '228', '79', '738', '63', '424', '710', '933', '177', '203', '786', '687', '182']
['584', '379', '114', '363', '159', '856', '595', '598', '846', '636', '671', '772', '847', '446', '712', '583', '620', '969', '239', '625']
['908', '571', '619', '270', '212', '550', '655', '1', '895', '917', '327', '612', '841', '886', '343', '900', '265', '75', '413', '709']
['132', '892', '724', '83', '185', '749', '138', '255', '962', '549', '32', '745', '366', '885', '579', '452', '37', '26', '804', '887']
['430', '354', '726', '770', '253', '874', '797', '946', '292', '403', '309', '560', '12', '787', '208', '608', '642', '992', '513', '415']
['624', '562', '278', '813', '92', '46', '117', '660', '806', '157', '661', '165', '88', '279', '617', '807', '2', '206', '551', '432']
['86', '819', '402', '795', '932', '353', '820', '421', '672', '101', '855', '493', '683', '437', '663', '456', '67', '460', '81', '557']
['247', '289', '916', '305', '414', '614', '326', '666', '587', '51', '899', '64', '859', '654', '472', '705', '939', '508', '597', '831']
['840', '56', '576', '47', '362', '342', '457', '680', '802', '341', '936', '151', '980', '902', '958', '336', '950', '509', '751', '459']
['704', '650', '610', '533', '82', '514', '153', '205', '693', '120', '397', '128', '835', '246', '304', '728', '793', '585', '618', '891']
['346', '984', '630', '149', '539', '742', '295', '174', '727', '978', '494', '256', '282', '361', '872', '235', '861', '376', '180', '418']
['759', '260', '55', '470', '384', '163', '744', '977', '546', '777', '241', '40', '527', '929', '311', '554', '999', '317', '111', '652']
['990', '495', '409', '126', '245', '17', '168', '623', '34', '986', '97', '996', '257', '716', '390', '48', '947', '757', '875', '474']
