['404', '972', '337', '315', '616', '502', '818', '760', '470', '142', '970', '192', '811', '515', '158', '942', '369', '483', '436', '389', '572', '650', '8', '666', '183', '510', '87', '589', '596', '234', '698', '90']
['42', '395', '133', '117', '385', '905', '662', '206', '217', '973', '484', '2', '448', '173', '54', '55', '472', '482', '652', '793', '78', '632', '617', '675', '518', '160', '403', '432', '44', '604', '528', '712']
['703', '561', '692', '732', '999', '38', '660', '587', '335', '542', '53', '862', '456', '500', '565', '956', '511', '197', '124', '257', '104', '574', '332', '40', '52', '36', '803', '758', '39', '940', '839', '791']
['338', '753', '933', '121', '6', '136', '549', '829', '678', '23', '184', '578', '278', '311', '76', '222', '836', '588', '639', '298', '935', '700', '420', '920', '691', '766', '771', '702', '11', '339', '539', '312']
['157', '491', '812', '324', '357', '653', '223', '740', '759', '232', '364', '731', '879', '302', '485', '926', '876', '645', '264', '405', '505', '720', '445', '153', '194', '648', '329', '631', '12', '15', '685', '581']
['164', '786', '132', '504', '674', '960', '269', '646', '344', '704', '189', '669', '109', '610', '347', '585', '319', '929', '953', '896', '309', '230', '559', '353', '151', '872', '802', '606', '457', '527', '167', '207']
['517', '452', '776', '247', '924', '822', '61', '680', '538', '620', '944', '355', '889', '144', '410', '115', '990', '583', '810', '259', '387', '951', '444', '28', '963', '739', '937', '119', '627', '643', '451', '922']
['419', '218', '377', '307', '625', '797', '807', '826', '907', '179', '279', '541', '356', '787', '736', '113', '856', '707', '126', '391', '204', '887', '582', '575', '190', '683', '210', '425', '900', '170', '216', '930']
['64', '983', '629', '187', '696', '82', '407', '713', '283', '506', '154', '86', '767', '998', '471', '360', '317', '275', '185', '548', '163', '744', '161', '56', '550', '748', '169', '814', '246', '245', '465', '573']
['74', '256', '13', '241', '592', '328', '626', '746', '373', '411', '340', '198', '644', '902', '494', '370', '96', '498', '584', '449', '242', '901', '406', '774', '473', '987', '165', '806', '182', '349', '85', '4']
['566', '961', '186', '478', '371', '535', '141', '705', '98', '490', '897', '434', '614', '773', '428', '239', '26', '817', '601', '476', '719', '213', '29', '292', '782', '73', '171', '450', '945', '988', '412', '611']
['623', '305', '501', '919', '41', '251', '947', '492', '994', '129', '174', '250', '635', '676', '521', '240', '980', '380', '224', '81', '384', '306', '556', '615', '458', '50', '110', '670', '446', '711', '863', '212']
['226', '238', '993', '805', '57', '665', '849', '981', '677', '268', '580', '931', '176', '809', '285', '149', '553', '3', '318', '772', '208', '804', '636', '913', '834', '417', '386', '892', '943', '824', '939', '989']
['354', '520', '260', '850', '860', '191', '608', '821', '841', '261', '815', '607', '388', '84', '94', '878', '7', '91', '195', '128', '503', '441', '724', '262', '107', '209', '362', '800', '871', '19', '469', '882']
['464', '147', '545', '916', '934', '201', '594', '789', '376', '621', '641', '135', '263', '747', '619', '869', '642', '844', '562', '88', '140', '959', '656', '954', '544', '722', '423', '310', '725', '196', '612', '751']
['734', '682', '118', '514', '597', '513', '590', '390', '640', '906', '205', '891', '984', '233', '928', '780', '851', '823', '258', '519', '593', '843', '37', '788', '877', '152', '9', '743', '486', '932', '112', '671']
['100', '952', '496', '870', '343', '392', '750', '693', '495', '114', '162', '27', '396', '219', '290', '563', '874', '481', '778', '903', '193', '67', '286', '637', '255', '499', '936', '997', '741', '854', '433', '374']
['598', '252', '24', '59', '282', '875', '424', '248', '178', '249', '613', '784', '51', '168', '730', '300', '62', '508', '237', '308', '321', '785', '577', '948', '890', '235', '618', '509', '148', '0', '638', '649']
['965', '684', '995', '331', '30', '825', '884', '846', '270', '667', '69', '351', '477', '427', '957', '737', '72', '17', '48', '202', '334', '525', '899', '941', '526', '599', '976', '455', '397', '146', '971', '297']
['547', '530', '847', '663', '493', '313', '33', '915', '982', '523', '108', '322', '137', '63', '440', '668', '10', '524', '783', '861', '68', '45', '368', '227', '381', '694', '883', '462', '968', '299', '695', '820']
['558', '893', '145', '531', '22', '1', '177', '796', '125', '156', '422', '925', '402', '537', '831', '431', '699', '5', '557', '188', '962', '159', '647', '437', '426', '467', '609', '859', '830', '543', '754', '359']
['624', '46', '134', '918', '228', '777', '453', '123', '231', '770', '763', '175', '438', '172', '116', '401', '367', '622', '294', '569', '655', '71', '533', '729', '443', '733', '868', '323', '723', '277', '16', '199']
['564', '701', '904', '243', '865', '266', '288', '873', '415', '295', '742', '58', '393', '488', '325', '314', '591', '43', '287', '345', '867', '745', '560', '463', '819', '461', '775', '326', '447', '330', '914', '768']
['70', '25', '106', '120', '273', '180', '267', '93', '717', '600', '66', '661', '77', '687', '418', '413', '21', '139', '229', '910', '855', '832', '828', '372', '651', '755', '634', '765', '155', '529', '571', '567']
['414', '986', '512', '795', '964', '681', '554', '31', '382', '350', '764', '293', '221', '781', '103', '468', '35', '917', '304', '605', '265', '710', '927', '398', '79', '967', '762', '749', '303', '714', '214', '672']
['253', '203', '894', '111', '346', '131', '798', '886', '664', '271', '659', '761', '769', '409', '430', '881', '143', '475', '365', '75', '718', '858', '320', '721', '138', '280', '32', '728', '595', '552', '236', '366']
['361', '689', '83', '792', '534', '837', '220', '14', '272', '316', '801', '690', '399', '727', '716', '211', '130', '34', '254', '955', '726', '474', '487', '375', '102', '480', '909', '20', '864', '301', '838', '540']
['333', '938', '92', '833', '200', '852', '633', '348', '352', '657', '460', '974', '122', '429', '946', '975', '885', '835', '921', '497', '857', '97', '466', '570', '579', '336', '686', '679', '738', '408', '89', '394']
['342', '536', '586', '274', '435', '363', '276', '150', '65', '991', '215', '603', '532', '992', '60', '379', '378', '341', '840', '880', '602', '284', '853', '568', '709', '842', '291', '866', '688', '958', '507', '985']
['895', '244', '630', '546', '799', '127', '47', '383', '658', '715', '489', '752', '756', '327', '628', '816', '105', '49', '969', '979', '977', '908', '181', '848', '706', '923', '996', '400', '99', '912', '421', '18']
['813', '790', '708', '289', '898', '555', '757', '459', '673', '225', '516', '166', '949', '808', '358', '950', '654', '735', '296', '911', '454', '416', '101', '576', '439', '479', '522', '697', '80', '281']
['794', '978', '779', '551', '95', '888', '827', '966', '845', '442']
