['a284', 'a314', 'a322', 'a452', 'a474', 'a16', 'a153', 'a189', 'a245', 'a438', 'a77', 'a147']
['a138', 'a130', 'a157', 'a221', 'a282', 'a312', 'a430', 'a53', 'a117', 'a132', 'a169', 'a219']
['a196', 'a152', 'a193', 'a226', 'a259', 'a316', 'a319', 'a340', 'a342', 'a383', 'a37', 'a133']
['a387', 'a140', 'a149', 'a175', 'a201', 'a209', 'a212', 'a230', 'a236', 'a304', 'a465', 'a3']
['a210', 'a9', 'a60', 'a79', 'a86', 'a173', 'a174', 'a195', 'a228', 'a239', 'a308', 'a329']
['a354', 'a11', 'a368', 'a388', 'a411', 'a73', 'a148', 'a222', 'a240', 'a242', 'a255', 'a318']
['a27', 'a64', 'a80', 'a85', 'a98', 'a100', 'a120', 'a123', 'a192', 'a204', 'a247', 'a256']
['a380', 'a4', 'a386', 'a413', 'a419', 'a447', 'a473', 'a48', 'a62', 'a142', 'a229', 'a252']
['a14', 'a371', 'a392', 'a394', 'a410', 'a426', 'a450', 'a451', 'a45', 'a52', 'a75', 'a104']
['a56', 'a2', 'a305', 'a350', 'a404', 'a449', 'a471', 'a92', 'a103', 'a145', 'a207', 'a213']
['a67', 'a26', 'a328', 'a421', 'a424', 'a453', 'a476', 'a94', 'a217', 'a234', 'a317', 'a355']
['a106', 'a363', 'a150', 'a159', 'a179', 'a253', 'a279', 'a344', 'a377', 'a384', 'a412', 'a7']
['a409', 'a25', 'a288', 'a367', 'a431', 'a216', 'a261', 'a324', 'a398', 'a399', 'a420', 'a423']
['a437', 'a24', 'a93', 'a141', 'a182', 'a215', 'a224', 'a225', 'a237', 'a268', 'a276', 'a302']
['a40', 'a323', 'a348', 'a352', 'a360', 'a382', 'a407', 'a434', 'a444', 'a446', 'a76', 'a124']
['a176', 'a333', 'a135', 'a177', 'a295', 'a43', 'a90', 'a113', 'a115', 'a125', 'a129', 'a146']
['a186', 'a20', 'a126', 'a128', 'a155', 'a162', 'a190', 'a200', 'a202', 'a203', 'a238', 'a292']
['a206', 'a271', 'a303', 'a343', 'a349', 'a366', 'a439', 'a440', 'a448', 'a457', 'a466', 'a467']
['a287', 'a231', 'a74', 'a171', 'a178', 'a197', 'a267', 'a325', 'a361', 'a378', 'a400', 'a17']
['a315', 'a31', 'a44', 'a107', 'a136', 'a211', 'a214', 'a251', 'a294', 'a297', 'a351', 'a353']
['a477', 'a50', 'a373', 'a396', 'a433', 'a13', 'a49', 'a57', 'a59', 'a84', 'a87', 'a102']
['a6', 'a131', 'a181', 'a244', 'a258', 'a277', 'a341', 'a358', 'a369', 'a370', 'a379', 'a389']
['a289', 'a454', 'a19', 'a101', 'a108', 'a183', 'a187', 'a281', 'a347', 'a395', 'a443', 'a462']
['a422', 'a429', 'a469', 'a22', 'a105', 'a112', 'a180', 'a185', 'a232', 'a266', 'a296', 'a401']
['a29', 'a95', 'a81', 'a89', 'a97', 'a144', 'a160', 'a241', 'a246', 'a274', 'a300', 'a311']
['a65', 'a10', 'a151', 'a280', 'a332', 'a391', 'a464', 'a51', 'a205', 'a249', 'a260', 'a263']
['a55', 'a32', 'a463', 'a41', 'a137', 'a164', 'a191', 'a336', 'a338', 'a359', 'a376', 'a405']
['a301', 'a21', 'a362', 'a390', 'a427', 'a478', 'a83', 'a88', 'a170', 'a188', 'a199', 'a220']
['a326', 'a28', 'a357', 'a375', 'a66', 'a265', 'a272', 'a46', 'a68', 'a114', 'a194', 'a233']
['a293', 'a270', 'a403', 'a455', 'a456', 'a480', 'a1', 'a110', 'a143', 'a166', 'a218', 'a235']
['a321', 'a23', 'a262', 'a307', 'a372', 'a111', 'a275', 'a283', 'a330', 'a374', 'a408', 'a432']
['a402', 'a5', 'a286', 'a346', 'a227', 'a291', 'a299', 'a320', 'a47', 'a198', 'a250', 'a381']
['a416', 'a36', 'a414', 'a428', 'a460', 'a334', 'a365', 'a418', 'a436', 'a458', 'a58', 'a122']
['a42', 'a30', 'a248', 'a127', 'a393', 'a61', 'a63', 'a71', 'a156', 'a184', 'a208', 'a254']
['a72', 'a8', 'a461', 'a417', 'a442', 'a445', 'a459', 'a472', 'a161', 'a364', 'a385', 'a397']
['a78', 'a38', 'a273', 'a470', 'a70', 'a99', 'a109', 'a118', 'a119', 'a134', 'a167', 'a172']
['a91', 'a35', 'a269', 'a96', 'a278', 'a298', 'a309', 'a327', 'a337', 'a345', 'a425', 'a479']
['a116', 'a39', 'a285', 'a415', 'a475', 'a69', 'a264', 'a356', 'a406', 'a139', 'a223', 'a331']
['a310', 'a18', 'a290', 'a441', 'a306', 'a12', 'a163', 'a165', 'a339', 'a154', 'a82', 'a168']
['a335', 'a15', 'a34', 'a33', 'a158', 'a468', 'a435', 'a54', 'a257', 'a313', 'a121', 'a243']
