['s324', 's155', 's54', 's200', 's224', 's26', 's488', 's227', 's99', 's339']
['s114', 's453', 's378', 's313', 's372', 's408', 's28', 's239', 's279', 's430']
['s172', 's58', 's62', 's305', 's296', 's457', 's42', 's201', 's53', 's47']
['s272', 's431', 's276', 's234', 's251', 's108', 's109', 's467', 's375', 's240']
['s350', 's179', 's135', 's302', 's215', 's444', 's139', 's38', 's310', 's205']
['s480', 's225', 's486', 's289', 's216', 's64', 's277', 's181', 's70', 's254']
['s12', 's345', 's470', 's27', 's288', 's381', 's190', 's364', 's24', 's333']
['s271', 's483', 's166', 's327', 's455', 's78', 's388', 's177', 's14', 's23']
['s340', 's5', 's180', 's301', 's194', 's427', 's219', 's45', 's178', 's90']
['s208', 's418', 's9', 's133', 's380', 's142', 's151', 's445', 's89', 's132']
['s37', 's415', 's96', 's332', 's51', 's485', 's417', 's493', 's173', 's451']
['s452', 's44', 's357', 's76', 's471', 's482', 's389', 's41', 's420', 's228']
['s128', 's459', 's303', 's476', 's491', 's354', 's262', 's146', 's425', 's187']
['s103', 's252', 's226', 's154', 's308', 's65', 's344', 's206', 's129', 's147']
['s497', 's137', 's113', 's461', 's87', 's450', 's75', 's10', 's392', 's293']
['s138', 's29', 's162', 's390', 's218', 's160', 's111', 's152', 's326', 's387']
['s441', 's267', 's440', 's91', 's468', 's43', 's13', 's400', 's371', 's394']
['s106', 's242', 's73', 's17', 's231', 's462', 's110', 's60', 's104', 's165']
['s244', 's18', 's334', 's472', 's434', 's397', 's85', 's183', 's94', 's407']
['s33', 's443', 's192', 's126', 's171', 's20', 's71', 's117', 's212', 's8']
['s74', 's478', 's355', 's141', 's229', 's257', 's131', 's273', 's398', 's494']
['s346', 's369', 's490', 's164', 's404', 's393', 's469', 's270', 's250', 's63']
['s93', 's98', 's83', 's499', 's119', 's386', 's153', 's247', 's214', 's442']
['s246', 's30', 's127', 's446', 's174', 's176', 's275', 's136', 's481', 's39']
['s49', 's342', 's292', 's7', 's149', 's330', 's222', 's304', 's414', 's120']
['s377', 's318', 's40', 's463', 's122', 's159', 's290', 's97', 's447', 's140']
['s464', 's347', 's474', 's150', 's88', 's286', 's300', 's325', 's366', 's232']
['s81', 's237', 's86', 's391', 's236', 's312', 's343', 's36', 's102', 's264']
['s143', 's358', 's283', 's1', 's411', 's368', 's32', 's167', 's448', 's0']
['s285', 's422', 's409', 's263', 's48', 's374', 's198', 's196', 's321', 's317']
['s383', 's34', 's182', 's456', 's299', 's405', 's475', 's396', 's466', 's351']
['s412', 's435', 's68', 's423', 's202', 's123', 's331', 's349', 's220', 's261']
['s424', 's193', 's233', 's61', 's258', 's316', 's2', 's361', 's323', 's291']
['s238', 's295', 's385', 's306', 's161', 's15', 's163', 's169', 's382', 's243']
['s298', 's419', 's479', 's421', 's168', 's80', 's69', 's495', 's473', 's492']
['s401', 's184', 's379', 's438', 's3', 's145', 's498', 's203', 's35', 's82']
['s199', 's439', 's336', 's66', 's416', 's175', 's322', 's315', 's395', 's487']
['s249', 's6', 's280', 's428', 's353', 's156', 's269', 's362', 's410', 's255']
['s297', 's465', 's337', 's287', 's186', 's144', 's16', 's496', 's189', 's121']
['s209', 's124', 's188', 's204', 's213', 's21', 's217', 's307', 's367', 's221']
['s130', 's278', 's384', 's134', 's484', 's241', 's210', 's46', 's477', 's101']
['s363', 's352', 's458', 's59', 's170', 's118', 's112', 's489', 's211', 's356']
['s274', 's329', 's341', 's105', 's253', 's429', 's406', 's309', 's22', 's256']
['s373', 's31', 's72', 's230', 's197', 's185', 's426', 's328', 's4', 's314']
['s57', 's115', 's294', 's460', 's19', 's95', 's320', 's413', 's311', 's207']
['s360', 's399', 's260', 's79', 's11', 's282', 's265', 's107', 's92', 's67']
['s191', 's402', 's158', 's223', 's432', 's259', 's449', 's25', 's195', 's235']
['s52', 's125', 's433', 's454', 's55', 's157', 's370', 's50', 's436', 's359']
['s116', 's338', 's319', 's84', 's266']
['s245', 's365', 's148']
['s56', 's100', 's268', 's403', 's335', 's281', 's376', 's348', 's77', 's437']
['s248', 's284']
