['0', 'A36', 'D36']
['30', 'E36', 'A37']
['1', 'D37', 'E37']
['2', 'A38', 'D38']
['3', 'E38', 'A39']
['4', 'D39', 'E39']
['5', 'A40', 'D40']
['6', 'E40', 'A41']
['7', 'D41', 'E41']
['8', 'A42', 'D42']
['9', 'E42', 'A43']
['10', 'D43', 'E43']
['11', 'A44', 'D44']
['12', 'E44', 'A45']
['13', 'D45', 'E45']
['14', 'A46', 'D46']
['15', 'E46', 'A47']
['16', 'D47', 'E47']
['17', 'A48', 'D48']
['18', 'E48', 'A49']
['19', 'D49', 'E49']
['20', 'A50', 'D50']
['21', 'E50', 'A51']
['22', 'D51', 'E51']
['23', 'A52', 'D52']
['24', 'E52', 'A53']
['25', 'D53', 'E53']
['26', 'A54', 'D54']
['27', 'E54', 'C36']
['28', 'C37', 'C38']
['29', 'C39', 'C40']
['31', 'C41', 'C42']
['32', 'C43', 'C44']
['33', 'C45', 'C46']
['34', 'C47', 'C48']
['35', 'C49', 'C50']
['36', 'C51', 'C52']
['37', 'C53', 'C54']
['38', 'B36', 'F36']
['39', 'H36', 'B37']
['40', 'F37', 'H37']
['41', 'B38', 'F38']
['42', 'H38', 'B39']
['43', 'F39', 'H39']
['44', 'B40', 'F40']
['45', 'H40', 'B41']
['46', 'F41', 'H41']
['47', 'B42', 'F42']
['48', 'H42', 'B43']
['49', 'F43', 'H43']
['50', 'B44', 'F44']
['51', 'H44', 'B45']
['52', 'F45', 'H45']
['53', 'B46', 'F46']
['54', 'H46', 'B47']
['55', 'F47', 'H47']
['56', 'B48', 'F48']
['57', 'H48', 'B49']
['58', 'F49', 'H49']
['59', 'B50', 'F50']
['A0', 'C0', 'C1']
['D0', 'B0', 'H50']
['E0', 'F0', 'H0']
['A1', 'B1', 'F1']
['D1', 'B51', 'F51']
['E1', 'H1', 'H2']
['A2', 'C2', 'C3']
['D2', 'B2', 'H51']
['E2', 'F2', 'B52']
['A3', 'B3', 'F3']
['D3', 'F52', 'H52']
['E3', 'H3', 'H4']
['A4', 'C4', 'C5']
['D4', 'B4', 'B53']
['E4', 'F4', 'F53']
['A5', 'B5', 'F5']
['D5', 'H53', 'B54']
['E5', 'H5', 'H6']
['A6', 'C6', 'C7']
['D6', 'B6', 'F54']
['E6', 'F6', 'H54']
['A7', 'B7', 'F7']
['D7', 'G0', 'G1']
['E7', 'H7', 'H8']
['A8', 'C8', 'C9']
['D8', 'B8', 'G2']
['E8', 'F8', 'G3']
['A9', 'B9', 'F9']
['D9', 'G4', 'G5']
['E9', 'H9', 'H10']
['A10', 'C10', 'C11']
['D10', 'B10', 'G6']
['E10', 'F10', 'G7']
['A11', 'B11', 'F11']
['D11', 'G8', 'G9']
['E11', 'H11', 'H12']
['A12', 'C12', 'C13']
['D12', 'B12', 'G10']
['E12', 'F12', 'G11']
['A13', 'B13', 'F13']
['D13', 'G12', 'G13']
['E13', 'H13', 'H14']
['A14', 'C14', 'C15']
['D14', 'B14', 'G15']
['E14', 'F14', 'G14']
['A15', 'B15', 'F15']
['D15', 'G17', 'G19']
['E15', 'H15', 'H16']
['A16', 'C16', 'C17']
['D16', 'B16', 'G21']
['E16', 'F16', 'G16']
['A17', 'B17', 'F17']
['D17', 'G23', 'G25']
['E17', 'H17', 'H18']
['A18', 'C18', 'C19']
['D18', 'B18', 'G27']
['E18', 'F18', 'G18']
['A19', 'B19', 'F19']
['D19', 'G29', 'G31']
['E19', 'H19', 'H20']
['A20', 'C20', 'C21']
['D20', 'B20', 'G33']
['E20', 'F20', 'G20']
['A21', 'B21', 'F21']
['D21', 'G35', 'G36']
['E21', 'H21', 'H22']
['A22', 'C22', 'C23']
['D22', 'B22', 'G37']
['E22', 'F22', 'G22']
['A23', 'B23', 'F23']
['D23', 'G38', 'G39']
['E23', 'H23', 'H24']
['A24', 'C24', 'C25']
['D24', 'B24', 'G40']
['E24', 'F24', 'G24']
['A25', 'B25', 'F25']
['D25', 'G41', 'G42']
['E25', 'H25', 'H26']
['A26', 'C26', 'C27']
['D26', 'B26', 'G43']
['E26', 'F26', 'G26']
['A27', 'B27', 'F27']
['D27', 'G44', 'G45']
['E27', 'H27', 'H28']
['A28', 'C28', 'C29']
['D28', 'B28', 'G46']
['E28', 'F28', 'G28']
['A29', 'B29', 'F29']
['D29', 'G47', 'G48']
['E29', 'H29', 'H30']
['A30', 'C30', 'C31']
['D30', 'B30', 'G49']
['E30', 'F30', 'G30']
['A31', 'B31', 'F31']
['D31', 'G50', 'G51']
['E31', 'H31', 'H32']
['A32', 'C32', 'C33']
['D32', 'B32', 'G52']
['E32', 'F32', 'G32']
['A33', 'B33', 'F33']
['D33', 'G53', 'G54']
['E33', 'H33', 'H34']
['A34', 'C34', 'C35']
['D34', 'B34']
['E34', 'F34', 'G34']
['A35', 'B35', 'F35']
['D35', 'E35', 'H35']
