['1', '0', '4', '5', '10', '17']
['2', '11', '18', '24', '31', '36']
['3', '37', '38', '40', '42', '58']
['6', '39', '41', '59', '65', '66']
['7', '72', '79', '84', '86', '88']
['8', '85', '87', '89', '90', '106']
['9', '107', '113', '114', '120', '127']
['12', '13', '14', '15', '16', '132']
['49', '48', '52', '53', '133', '134']
['50', '135', '136', '138', '154', '161']
['51', '137', '155', '162', '168', '175']
['54', '180', '182', '184', '186', '202']
['55', '181', '183', '185', '203', '209']
['56', '210', '216', '223', '228', '230']
['57', '229', '231', '232', '234', '250']
['60', '61', '62', '63', '64', '233']
['97', '96', '100', '101', '251', '257']
['98', '258', '264', '271', '276', '278']
['99', '277', '279', '280', '282', '298']
['102', '281', '299', '305', '306', '312']
['103', '319', '324', '326', '328', '330']
['104', '325', '327', '329', '346', '353']
['105', '347', '354', '360', '367', '372']
['108', '109', '110', '111', '112', '373']
['145', '144', '148', '149', '374', '376']
['146', '375', '377', '378', '393', '407']
['147', '408', '414', '420', '422', '424']
['150', '421', '423', '425', '426', '25']
['151', '30', '73', '78', '121', '126']
['152', '169', '174', '217', '222', '265']
['153', '270', '313', '318', '361', '366']
['156', '157', '158', '159', '160', '409']
['193', '192', '196', '197', '415', '19']
['194', '20', '21', '22', '23', '26']
['195', '27', '28', '29', '32', '33']
['198', '34', '35', '43', '44', '45']
['199', '46', '47', '67', '68', '69']
['200', '70', '71', '74', '75', '76']
['201', '77', '80', '81', '82', '83']
['204', '205', '206', '207', '208', '91']
['241', '240', '244', '245', '92', '93']
['242', '94', '95', '115', '116', '117']
['243', '118', '119', '122', '123', '124']
['246', '125', '128', '129', '130', '131']
['247', '139', '140', '141', '142', '143']
['248', '163', '164', '165', '166', '167']
['249', '170', '171', '172', '173', '176']
['252', '253', '254', '255', '256', '177']
['289', '288', '292', '293', '178', '179']
['290', '187', '188', '189', '190', '191']
['291', '211', '212', '213', '214', '215']
['294', '218', '219', '220', '221', '224']
['295', '225', '226', '227', '235', '236']
['296', '237', '238', '239', '259', '260']
['297', '261', '262', '263', '266', '267']
['300', '301', '302', '303', '304', '268']
['337', '336', '340', '341', '269', '272']
['338', '273', '274', '275', '283', '284']
['339', '285', '286', '287', '307', '308']
['342', '309', '310', '311', '314', '315']
['343', '316', '317', '320', '321', '322']
['344', '323', '331', '332', '333', '334']
['345', '335', '355', '356', '357', '358']
['348', '349', '350', '351', '352', '359']
['385', '384', '388', '389', '362', '363']
['386', '364', '365', '368', '369', '370']
['387', '371', '379', '380', '381', '382']
['390', '400', '401', '383', '396', '397']
['391', '410', '411', '412', '413', '416']
['392', '419', '417', '418', '427', '428']
['399', '394', '398', '429', '430', '431']
['402', '403', '404', '405', '406', '395']
