['146', '98', '478']
['19', '107', '498']
['64', '126', '132']
['480', '134', '351']
['110', '465', '278']
['348', '118', '211']
['4', '160', '413']
['452', '165', '274']
['306', '173', '270']
['390', '205', '372']
['154', '225', '395']
['170', '227', '374']
['485', '235', '258']
['415', '246', '365']
['391', '279', '347']
['412', '262', '283']
['164', '447', '284']
['106', '420', '496']
['58', '451', '303']
['422', '194', '260']
['314', '109', '313']
['138', '404', '307']
['416', '349', '334']
['472', '378', '352']
['255', '476', '482']
['399', '382', '384']
['88', '383', '408']
['100', '212', '400']
['220', '324', '405']
['108', '388', '139']
['389', '218', '421']
['392', '116', '325']
['159', '117', '256']
['230', '123', '469']
['143', '418', '427']
['320', '439', '490']
['492', '441', '2']
['285', '152', '354']
['242', '265', '8']
['188', '9', '11']
['191', '373', '16']
['281', '310', '17']
['210', '222', '24']
['271', '350', '288']
['318', '46', '49']
['3', '52', '53']
['234', '54', '57']
['5', '60', '61']
['162', '63', '67']
['298', '68', '69']
['6', '70', '72']
['442', '74', '75']
['7', '81', '82']
['12', '90', '92']
['429', '93', '96']
['13', '99', '101']
['406', '316', '104']
['14', '111', '115']
['31', '119', '120']
['174', '121', '130']
['40', '137', '142']
['321', '144', '148']
['135', '113', '149']
['20', '151', '157']
['21', '163', '166']
['396', '167', '168']
['25', '175', '176']
['474', '360', '178']
['95', '179', '180']
['38', '184', '186']
['39', '187', '189']
['206', '190', '192']
['44', '195', '197']
['45', '202', '203']
['124', '204', '208']
['47', '209', '214']
['125', '158', '215']
['417', '455', '217']
['362', '282', '219']
['213', '216', '221']
['319', '434', '223']
['80', '226', '229']
['363', '232', '237']
['83', '238', '240']
['273', '249', '244']
['84', '245', '248']
['182', '181', '251']
['385', '252', '257']
['102', '259', '261']
['105', '311', '263']
['337', '264', '266']
['380', '112', '499']
['236', '114', '207']
['122', '147', '267']
['161', '127', '359']
['128', '292', '272']
['141', '484', '367']
['200', '468', '275']
['481', '276', '277']
['286', '150', '280']
['196', '155', '287']
['471', '289', '291']
['193', '293', '294']
['171', '339', '295']
['172', '453', '330']
['185', '355', '296']
['304', '198', '301']
['438', '302', '305']
['361', '493', '309']
['456', '201', '414']
['488', '312', '315']
['364', '470', '317']
['231', '411', '322']
['233', '323', '326']
['239', '464', '327']
['394', '241', '250']
['247', '450', '328']
['268', '419', '329']
['308', '269', '401']
['290', '331', '332']
['343', '333', '335']
['425', '407', '336']
['423', '475', '338']
['495', '446', '340']
['0', '341', '342']
['463', '344', '345']
['1', '346', '353']
['59', '356', '357']
['397', '358', '366']
['15', '368', '369']
['300', '371', '375']
['228', '376', '377']
['254', '379', '381']
['131', '386', '387']
['10', '393', '398']
['183', '402', '409']
['253', '410', '424']
['129', '430', '431']
['18', '432', '433']
['145', '436', '437']
['34', '440', '443']
['448', '444', '449']
['22', '457', '458']
['23', '459', '461']
['445', '462', '466']
['26', '467', '473']
['27', '477', '479']
['28', '483', '486']
['177', '487', '491']
['29', '494', '497']
['140']
['30']
['460']
['32']
['33']
['35']
['428']
['36']
['73']
['37']
['370']
['297']
['454']
['403']
['41']
['42']
['136']
['43']
['489']
['77']
['103']
['48']
['50']
['51']
['435']
['55']
['56']
['62']
['299']
['65']
['66']
['71']
['156']
['76']
['224']
['78']
['79']
['97']
['199']
['426']
['85']
['243']
['86']
['87']
['89']
['169']
['91']
['133']
['94']
['153']
