['1', '16', '129', '79', '2', '34', '114', '75', '27', '80', '82', '86']
['157', '29', '112', '22', '31', '102', '53', '128', '111', '21', '119', '14']
['158', '81', '76', '9', '126', '121', '139', '134', '145', '141', '144', '85']
['400', '113', '122', '124', '30', '17', '90', '11', '125', '118', '3', '8']
['62', '69', '68', '71', '233', '309', '250', '283', '302', '303', '247', '297']
['104', '107', '288', '237', '287', '197', '171', '209', '223', '275', '201', '199']
['95', '72', '92', '290', '159', '276', '245', '218', '242', '165', '228', '306']
['117', '74', '110', '116', '63', '109', '221', '265', '198', '266', '189', '175']
['150', '148', '149', '55', '77', '154', '147', '295', '160', '220', '292', '261']
['43', '46', '136', '41', '310', '212', '262', '255', '307', '203', '193', '205']
['100', '7', '101', '10', '106', '5', '78', '133', '211', '186', '173', '178']
['103', '96', '40', '97', '224', '177', '196', '184', '172', '293', '187', '225']
['6', '4', '67', '274', '282', '277', '253', '299', '259', '229', '214', '188']
['105', '98', '246', '263', '163', '281', '235', '291', '181', '204', '208', '234']
['36', '249', '252', '156', '239', '236', '170', '268', '190', '227', '271', '213']
['50', '93', '49', '57', '48', '56', '285', '257', '258', '248', '300', '244']
['108', '131', '115', '52', '251', '215', '294', '301', '168', '210', '298', '286']
['61', '94', '91', '28', '60', '84', '83', '182', '166', '311', '200', '180']
['65', '138', '135', '70', '256', '207', '279', '202', '174', '217', '241', '176']
['51', '54', '137', '142', '192', '260', '169', '254', '226', '308', '232', '161']
['13', '12', '35', '19', '167', '269', '230', '219', '231', '185', '162', '278']
['89', '88', '151', '304', '206', '164', '216', '195', '296', '289', '240', '264']
['143', '140', '120', '238', '305', '222', '243', '270', '284', '267', '273', '191']
['45', '38', '44', '280', '272', '183', '194', '179', '338', '314', '438', '347']
['33', '146', '329', '407', '457', '459', '320', '328', '434', '341', '455', '343']
['87', '463', '315', '353', '339', '406', '435', '441', '323', '414', '404', '382']
['73', '368', '396', '364', '359', '372', '409', '378', '313', '375', '391', '397']
['26', '373', '379', '376', '337', '348', '357', '369', '461', '344', '423', '326']
['152', '153', '440', '398', '462', '322', '392', '312', '330', '346', '381', '465']
['32', '380', '385', '370', '387', '418', '421', '448', '415', '450', '325', '460']
['59', '345', '466', '408', '410', '403', '377', '433', '365', '412', '390', '411']
['99', '316', '458', '371', '363', '416', '332', '374', '426', '443', '467', '451']
['37', '388', '362', '446', '350', '439', '430', '444', '445', '436', '453', '386']
['23', '15', '18', '20', '0', '123', '417', '340', '351', '333', '419', '389']
['39', '42', '47', '24', '318', '360', '383', '358', '452', '366', '384', '437']
['66', '64', '428', '335', '422', '431', '317', '331', '394', '367', '324', '336']
['155', '132', '393', '361', '429', '399', '420', '402', '356', '447', '427', '432']
['130', '127', '425', '349', '327', '454', '424', '464', '334', '401', '442', '449']
['25', '58', '319', '354', '342', '352', '355', '395', '413', '405', '456', '321']
