['117', '364', '433', '370', '453', '464', '127', '191', '427', '445']
['246', '355', '74', '162', '201', '324', '397', '426', '28', '45']
['419', '390', '336', '480', '122', '255', '325', '337', '387', '394']
['94', '447', '177', '354', '5', '57', '92', '138', '147', '173']
['328', '476', '72', '113', '221', '296', '432', '466', '60', '69']
['128', '59', '199', '316', '487', '101', '223', '38', '40', '129']
['198', '493', '158', '288', '120', '179', '209', '233', '257', '263']
['300', '19', '84', '144', '262', '265', '373', '416', '463', '8']
['333', '496', '164', '200', '301', '330', '395', '402', '473', '22']
['375', '399', '10', '203', '227', '344', '456', '85', '351', '356']
['33', '285', '35', '108', '211', '381', '403', '471', '15', '53']
['146', '4', '182', '56', '79', '243', '293', '26', '102', '104']
['163', '422', '172', '206', '207', '267', '270', '323', '348', '360']
['202', '78', '112', '131', '178', '192', '242', '304', '318', '335']
['297', '278', '97', '139', '340', '435', '183', '194', '195', '1']
['334', '314', '145', '187', '231', '392', '12', '83', '219', '319']
['444', '132', '32', '95', '140', '283', '294', '494', '152', '14']
['44', '240', '322', '359', '421', '27', '42', '91', '159', '218']
['116', '30', '70', '135', '398', '409', '436', '455', '16', '176']
['212', '424', '346', '125', '66', '130', '250', '281', '384', '386']
['315', '320', '61', '87', '141', '185', '208', '216', '249', '374']
['378', '51', '161', '269', '65', '134', '377', '401', '472', '492']
['411', '256', '46', '439', '342', '210', '217', '273', '332', '417']
['3', '451', '485', '196', '266', '363', '391', '408', '470', '475']
['29', '105', '107', '214', '11', '18', '88', '225', '248', '339']
['37', '24', '188', '282', '454', '6', '115', '165', '372', '407']
['62', '52', '310', '367', '382', '58', '73', '93', '99', '174']
['169', '43', '481', '280', '308', '345', '350', '369', '431', '448']
['186', '34', '268', '306', '486', '286', '17', '205', '460', '465']
['284', '405', '428', '365', '458', '490', '181', '234', '244', '261']
['291', '124', '362', '415', '41', '156', '400', '31', '50', '90']
['309', '175', '477', '352', '353', '457', '49', '226', '241', '307']
['366', '479', '438', '443', '126', '287', '326', '383', '406', '412']
['414', '55', '36', '80', '110', '331', '111', '171', '64', '150']
['452', '437', '449', '468', '498', '13', '121', '253', '274', '290']
['474', '23', '232', '423', '103', '184', '338', '347', '385', '418']
['63', '446', '491', '100', '143', '149', '251', '295', '302', '313']
['96', '236', '151', '238', '2', '361', '379', '86', '180', '276']
['98', '495', '222', '7', '9', '77', '321', '193', '279', '311']
['119', '137', '155', '168', '272', '440', '254', '482', '167', '228']
['123', '489', '260', '497', '109', '442', '462', '47', '160', '213']
['133', '467', '239', '429', '461', '478', '488', '67', '136', '204']
['166', '142', '420', '305', '298', '48', '371', '404', '441', '20']
['220', '434', '189', '154', '190', '106', '197', '299', '317', '413']
['229', '258', '230', '289', '499', '114', '264', '303', '349', '81']
['237', '153', '252', '259', '389', '396', '425', '21', '76', '170']
['292', '450', '376', '277', '393', '459', '469', '484', '82', '215']
['329', '89', '380', '39', '410', '224', '235', '327', '388', '483']
['341', '157', '54', '368', '148', '312', '0', '68', '275', '118']
['343', '247', '25', '71', '245', '357', '358', '75', '271', '430']
