['104', '101', '124', '127', '165', '252', '395', '57', '121', '126', '142', '176', '190', '242', '288', '293', '433', '9', '34', '91', '151', '191', '289', '314', '324', '331', '359', '377', '448', '18', '37', '62', '66', '74', '75', '149', '152', '187', '196']
['322', '339', '493', '117', '203', '328', '403', '205', '254', '316', '45', '90', '97', '180', '186', '285', '305', '428', '431', '463', '484', '36', '72', '115', '179', '195', '232', '250', '258', '306', '319', '376', '399', '435', '459', '467', '68', '136', '221']
['449', '103', '226', '283', '405', '416', '438', '35', '119', '148', '168', '214', '257', '436', '444', '462', '73', '122', '164', '367', '373', '391', '394', '482', '491', '51', '141', '150', '236', '237', '240', '371', '398', '411', '425', '486', '0', '4', '61']
['145', '29', '296', '420', '497', '60', '67', '138', '197', '251', '263', '357', '408', '422', '452', '470', '12', '46', '79', '106', '130', '134', '210', '241', '264', '270', '361', '372', '477', '1', '59', '112', '139', '169', '239', '15', '20', '43', '47']
['418', '25', '471', '23', '129', '11', '188', '344', '346', '365', '219', '231', '276', '291', '326', '360', '368', '495', '220', '266', '325', '412', '441', '7', '69', '135', '172', '199', '247', '284', '290', '297', '341', '387', '48', '58', '114', '132', '246']
['308', '143', '107', '146', '202', '229', '256', '329', '364', '400', '447', '465', '207', '301', '313', '348', '432', '492', '128', '181', '204', '244', '262', '238', '445', '458', '42', '137', '161', '248', '426', '6', '93', '125', '147', '211', '218', '275', '336']
['349', '417', '343', '439', '40', '64', '298', '481', '38', '41', '65', '108', '475', '102', '182', '184', '259', '272', '299', '307', '421', '443', '55', '92', '155', '159', '160', '286', '375', '28', '39', '83', '133', '173', '332', '423', '451', '469', '21']
['352', '386', '356', '267', '300', '379', '382', '384', '406', '466', '26', '54', '105', '304', '335', '383', '80', '200', '227', '279', '292', '350', '390', '468', '480', '3', '85', '271', '310', '334', '354', '407', '410', '483', '5', '111', '131', '175', '208']
['13', '388', '24', '206', '53', '120', '389', '265', '320', '278', '374', '385', '409', '427', '434', '456', '472', '16', '27', '63', '99', '215', '315', '338', '363', '393', '397', '415', '419', '437', '489', '87', '96', '153', '158', '209', '235', '287', '342']
['167', '178', '273', '277', '317', '345', '98', '351', '378', '413', '476', '22', '33', '212', '312', '8', '82', '166', '185', '401', '414', '453', '50', '303', '94', '100', '224', '268', '318', '404', '446', '261', '282', '337', '488', '163', '340', '369', '2']
['327', '95', '222', '461', '429', '487', '281', '113', '156', '442', '454', '10', '44', '71', '77', '123', '217', '234', '253', '323', '380', '485', '19', '89', '144', '430', '14', '17', '49', '52', '56', '171', '189', '194', '249', '280', '498', '76', '78']
['358', '295', '118', '370', '88', '228', '255', '366', '347', '473', '450', '478', '490', '424', '494', '192', '260', '269', '321', '496', '81', '157', '198', '230', '233', '243', '353', '362', '381', '460', '474', '479', '140', '154', '170', '174', '216', '330', '440']
['70', '86', '355', '302', '402', '245', '31', '274', '333', '464', '30', '109', '201', '223', '457', '110', '177', '193', '225', '32', '294', '311', '392', '499', '116', '213', '84', '183', '309', '455', '162', '396']
