['0', '44', '45', '46', '48', '49', '50']
['1', '60', '62', '63', '64', '67', '69']
['2', '81', '83', '74', '76', '77', '78']
['368', '396', '397', '398', '401', '188', '382']
['3', '87', '88', '89', '91', '92', '229']
['4', '93', '95', '97', '404', '94', '96']
['5', '101', '104', '406', '99', '100', '102']
['366', '381', '383', '384', '385', '387', '388']
['367', '390', '391', '392', '395', '389', '393']
['13', '119', '120', '142', '145', '210', '231']
['369', '403', '402', '242', '278', '303', '410']
['370', '405', '236', '333', '411', '418', '432']
['371', '407', '213', '342', '426', '440', '447']
['6', '105', '106', '127', '258', '445', '456']
['7', '107', '108', '269', '347', '458', '462']
['8', '109', '110', '216', '355', '464', '479']
['9', '111', '112', '130', '281', '123', '125']
['10', '113', '114', '349', '417', '487', '124']
['11', '115', '116', '160', '217', '357', '431']
['12', '118', '117', '298', '126', '128', '129']
['14', '121', '122', '141', '143', '146', '147']
['30', '422', '424', '463', '155', '156', '157']
['31', '82', '446', '158', '159', '161', '173']
['33', '84', '348', '419', '465', '175', '176']
['373', '386', '413', '421', '441', '474', '177']
['375', '207', '459', '180', '182', '186', '187']
['376', '399', '442', '450', '189', '190', '191']
['377', '394', '151', '429', '482', '194', '195']
['378', '168', '430', '483', '484', '197', '203']
['379', '400', '443', '485', '486', '205', '206']
['380', '488', '208', '211', '212', '222', '224']
['15', '162', '312', '313', '131', '225', '226']
['16', '51', '79', '132', '192', '467', '148']
['17', '52', '133', '149', '218', '228', '230']
['18', '53', '232', '134', '150', '233', '238']
['19', '54', '135', '239', '240', '241', '244']
['20', '55', '136', '152', '245', '247', '250']
['21', '137', '251', '252', '253', '254', '255']
['22', '57', '138', '154', '257', '260', '262']
['23', '80', '163', '193', '209', '263', '264']
['24', '164', '219', '268', '270', '272', '273']
['25', '165', '246', '274', '275', '276', '279']
['26', '334', '475', '166', '259', '280', '283']
['27', '70', '167', '183', '282', '284', '285']
['28', '71', '184', '286', '287', '288', '290']
['29', '72', '169', '185', '291', '292', '293']
['32', '346', '196', '265', '294', '296', '297']
['34', '85', '351', '198', '214', '299', '300']
['35', '86', '199', '215', '302', '304', '305']
['36', '220', '271', '306', '308', '309', '310']
['37', '221', '356', '289', '311', '314', '315']
['38', '234', '277', '316', '317', '318', '319']
['39', '98', '360', '461', '235', '243', '301']
['40', '103', '248', '256', '295', '320', '321']
['41', '249', '307', '322', '323', '325', '326']
['372', '427', '471', '472', '327', '329', '330']
['374', '335', '336', '337', '338', '339', '340']
['56', '416', '153', '324', '341', '343', '344']
['90', '438', '457', '227', '331', '345', '350']
['42', '469', '139', '170', '352', '353', '354']
['43', '140', '200', '358', '359', '361', '362']
['47', '449', '144', '266', '363', '364', '365']
['58', '171', '201', '408', '409', '412', '414']
['59', '172', '223', '415', '423', '428', '434']
['61', '425', '174', '261', '435', '436', '437']
['65', '178', '439', '444', '448', '451', '452']
['66', '433', '179', '328', '453', '454', '455']
['68', '181', '332', '460', '466', '468', '470']
['73', '202', '237', '473', '476', '477', '478']
['75', '420', '204', '267', '480', '481']
