['367', '350', '356', '132', '143', '204', '210', '144', '360', '364', '384', '4', '36', '47', '48', '83', '200', '354', '359', '10', '96', '129', '167', '182', '183']
['226', '112', '229', '232', '242', '260', '266', '334', '100', '115', '169', '225', '231', '248', '253', '267', '271', '421', '499', '1', '11', '78', '82', '158', '261']
['118', '58', '63', '117', '97', '402', '54', '60', '74', '102', '111', '152', '173', '309', '7', '66', '73', '103', '108', '114', '116', '151', '153', '159', '208']
['241', '227', '262', '304', '311', '50', '481', '467', '87', '155', '308', '316', '410', '492', '75', '192', '244', '250', '256', '317', '321', '477', '142', '196', '245']
['53', '212', '252', '265', '270', '273', '291', '351', '355', '472', '478', '487', '56', '67', '70', '157', '160', '206', '214', '218', '254', '268', '282', '294', '305']
['91', '278', '408', '419', '400', '413', '416', '448', '296', '324', '411', '414', '415', '418', '471', '72', '90', '107', '237', '383', '406', '420', '451', '469', '89']
['246', '174', '450', '230', '236', '239', '247', '135', '136', '215', '307', '312', '320', '382', '388', '395', '409', '431', '432', '437', '444', '449', '470', '485', '6']
['349', '145', '43', '263', '361', '363', '370', '98', '99', '133', '255', '293', '343', '345', '362', '365', '366', '372', '373', '442', '80', '119', '124', '125', '131']
['426', '489', '342', '392', '393', '446', '93', '113', '121', '154', '243', '306', '318', '319', '353', '357', '394', '399', '436', '438', '445', '458', '464', '57', '65']
['488', '490', '213', '207', '221', '330', '461', '483', '493', '495', '69', '203', '280', '475', '479', '494', '24', '31', '81', '86', '92', '134', '186', '199', '202']
['23', '439', '150', '101', '104', '110', '234', '288', '299', '325', '427', '428', '441', '455', '45', '61', '106', '123', '156', '162', '168', '170', '185', '220', '238']
['46', '38', '29', '37', '49', '25', '30', '32', '407', '465', '28', '35', '40', '404', '433', '443', '459', '463', '466', '473', '474', '41', '44', '79', '147']
['163', '164', '258', '85', '251', '275', '333', '386', '456', '476', '497', '59', '77', '88', '94', '161', '171', '264', '276', '292', '303', '375', '452', '498', '84']
['201', '422', '491', '105', '405', '27', '34', '109', '211', '216', '315', '368', '374', '120', '128', '209', '217', '223', '269', '283', '287', '339', '460', '148', '233']
['348', '326', '336', '347', '344', '329', '346', '20', '331', '341', '19', '327', '332', '338', '387', '430', '9', '13', '328', '340', '377', '425', '435', '5', '122']
['352', '259', '358', '284', '380', '376', '389', '322', '371', '379', '385', '390', '396', '397', '398', '454', '496', '21', '42', '51', '290', '301', '310', '335', '378']
['417', '323', '249', '423', '205', '314', '401', '228', '424', '2', '33', '141', '146', '219', '300', '127', '138', '337', '381', '453', '468', '52', '71', '166', '224']
['0', '14', '15', '140', '286', '16', '285', '137', '139', '240', '279', '289', '462', '3', '8', '17', '298', '391', '486', '12', '39', '95', '126', '274', '281']
['22', '277', '484', '482', '429', '440', '434', '480', '313', '447', '457', '68', '190', '272', '295', '297', '369', '76', '149', '172', '62', '64', '179', '197', '26']
['198', '176', '181', '18', '187', '177', '178', '180', '191', '193', '55', '184', '403', '188', '189', '194', '195', '222', '235', '257', '302', '412', '130', '165', '175']
