['KUMCW', 'GZQDO', 'BGOJW', 'FJPVZ', 'SZXFW']
['RQZPM', 'HFDOF', 'UCLPW', 'OXRDD', 'YJCIZ']
['QBVUY', 'EAEIR', 'VFFHE', 'SGRXP', 'WJAIQ']
['XXRUC', 'FCJLJ', 'EAITX', 'CBJEL', 'QECFT']
['YQSUZ', 'MEKWP', 'UHOTV', 'RMUXW', 'TAIVA']
['UBCVC', 'QYWKX', 'GOXXP', 'AGDTK', 'BJTHH']
['MRXML', 'BTWAZ', 'VNVFZ', 'YWPLR', 'CUUFQ']
['KENPF', 'VSPLU', 'LSZMU', 'DKHZJ', 'VIPLF']
['XBTFE', 'OVYDG', 'VPSEI', 'HGJEC', 'JMYIA']
['OENWP', 'DSQUZ', 'FZBVB', 'QPVND', 'NWAHL']
['WJIWZ', 'VXLZU', 'IGAXC', 'NKCOJ', 'ZJNIT']
['XIDUV', 'HNKDE', 'FCWUA', 'KXMSB', 'GICKM']
['SMSHQ', 'OVYUV', 'TKYGG', 'TYMOI', 'TFGVT']
['BBKUO', 'YNIQG', 'QBZQQ', 'JXGHX', 'DFBMK']
['EGIIY', 'CLLNQ', 'OXRUQ', 'ZBJTS', 'ZJPJO']
['CIUZU', 'ZRVWH', 'TEFPC', 'NHQWU', 'BLHOQ']
['VTOZN', 'OMYLR', 'FSTKF', 'XNYRJ', 'CKHRK']
['XCTJB', 'QIZOX', 'LIGPC', 'WSVIR', 'IBUGB']
['VLQCW', 'ZPTPS', 'CIPCP', 'GLIPE', 'WHRVK']
['XUHAP', 'SKBJW', 'CFMPM', 'GEQFC', 'QQUYY']
['UJESQ', 'UGKUC', 'YFRIJ', 'PVVAV', 'SGTRH']
['AHMRO', 'TAHXC', 'OLFRP', 'JOZYK', 'NSDMC']
['JWSRE', 'NDLFM', 'CPJBS', 'PLFWC', 'PGHQU']
['PABIC', 'BVCTY', 'KRWXO', 'LVBGW', 'VQAKV']
['YORBA', 'GCQTP', 'SVMGK', 'DVRRV', 'FBWOW']
['UFVEC', 'IGQNP', 'QAOAR', 'ENKVR', 'OSLVS']
['PQDFC', 'DKSJV', 'IGUWL', 'KYKCO', 'WLCAR']
['BWWYB', 'KHNJL', 'EHHWX', 'APXMD', 'ZEPYJ']
['XUYPR', 'DVLFX', 'NVSYK', 'OKPQW', 'EADHZ']
['ZUTJZ', 'BNYBV', 'CPTCX', 'RURLC', 'OCOQX']
['PSZDK', 'HXXMK', 'MXBHP', 'WGGGP', 'AICHQ']
['CKFJL', 'PXCKJ', 'FDGQA', 'QIALM', 'FELNZ']
['PTRTD', 'BNJLP', 'QCRLR', 'DSUJE', 'FEUEQ']
['PKHDM', 'RFWKF', 'RJIED', 'ECNTU', 'GJRAV']
['QNUDR', 'WNYYG', 'VGUGP', 'VQDCT', 'PQAHJ']
['JTHWI', 'RUYNY', 'THQAC', 'ACJRU', 'ABYHN']
['QGRPC', 'UGVLA', 'BPLLS', 'EHMWV', 'WDGCR']
['TBZDI', 'VBRPO', 'SHLYA', 'IAMKK', 'UDTFQ']
['WWYEF', 'MIKDS', 'XGNPD', 'EOCJX', 'QGXZJ']
