['386', '63', '93', '124', '253', '279', '306', '150', '189', '323', '327', '366', '46', '111', '177', '251', '319', '15', '197', '230', '292']
['52', '339', '371', '290', '309', '23', '131', '250', '365', '391', '3', '125', '182', '348', '350', '373', '80', '122', '191', '277', '287']
['308', '196', '70', '163', '206', '232', '353', '146', '237', '374', '248', '272', '300', '330', '343', '369', '14', '161', '200', '208', '229']
['97', '398', '217', '281', '295', '382', '394', '72', '91', '110', '115', '117', '143', '145', '193', '199', '201', '212', '218', '221', '265']
['346', '301', '336', '134', '135', '153', '159', '239', '318', '328', '333', '381', '87', '128', '167', '174', '198', '233', '249', '262', '278']
['108', '271', '388', '393', '12', '16', '25', '35', '42', '64', '82', '100', '130', '140', '240', '274', '284', '387', '22', '32', '51']
['69', '385', '53', '76', '79', '114', '119', '127', '156', '176', '184', '260', '269', '332', '19', '33', '36', '39', '101', '148', '173']
['142', '275', '261', '264', '283', '305', '17', '81', '89', '90', '106', '223', '242', '244', '263', '266', '299', '65', '92', '109', '113']
['245', '270', '107', '326', '345', '38', '102', '155', '175', '190', '222', '285', '296', '335', '352', '396', '6', '9', '29', '41', '43']
['347', '103', '151', '164', '187', '219', '231', '255', '282', '320', '375', '378', '34', '48', '54', '55', '95', '104', '141', '166', '202']
['116', '355', '329', '397', '71', '188', '216', '247', '372', '383', '389', '123', '203', '331', '334', '354', '18', '31', '86', '149', '168']
['1', '44', '120', '132', '185', '259', '321', '341', '60', '62', '235', '303', '118', '210', '236', '257', '359', '379', '384', '57', '99']
['194', '310', '357', '165', '241', '276', '288', '289', '315', '317', '344', '358', '380', '2', '66', '98', '133', '137', '157', '162', '211']
['220', '30', '192', '7', '293', '37', '228', '238', '267', '337', '390', '399', '126', '170', '179', '204', '213', '356', '360', '377', '21']
['297', '395', '5', '268', '291', '304', '312', '361', '376', '28', '50', '158', '171', '172', '20', '27', '40', '207', '209', '214', '225']
['256', '83', '129', '183', '205', '364', '178', '186', '294', '298', '8', '24', '26', '169', '286', '338', '340', '342', '363', '45', '59']
['362', '311', '56', '73', '84', '105', '121', '136', '215', '227', '234', '273', '280', '324', '368', '400', '11', '49', '68', '75', '78']
['4', '10', '88', '258', '313', '58', '139', '351', '314', '74', '246', '392', '94', '243', '154', '138', '195', '325', '147']
['47', '367', '85']
['61', '307', '180', '181', '349', '112', '152', '252', '302', '67', '226', '254', '316', '13', '77', '96', '144', '160', '224', '322', '370']
